Annuncio,Link,Prezzo,Anni,Immatricolazione,Chilometraggio,Cambio,Carburante,CV,Allestimento,Allestimento_unificato,Modello,Venditore,Distanza,Comune,CAP,Regione,Area
BMW 120 d Msport xdrive auto,https://www.autoscout24.it/annunci/bmw-120-d-msport-xdrive-auto-diesel-nero-a600b8b4-bf93-4fe8-ba98-502c9fa1cf3a,31000,5,2020,39,automatico,Diesel,136,M Sport,Sport,120d,Rivenditore,177,milano,20142,Lombardia,Nord-ovest
BMW 118 D MSPORT 2.0cc 150CV,https://www.autoscout24.it/annunci/bmw-118-d-msport-2-0cc-150cv-diesel-grigio-d1056538-d38c-488d-a9d1-24a8e32d266b,27990,4,2021,49,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,186,bianzone,23030,Lombardia,Nord-ovest
BMW 120 M-SPORT LED NAVI VARI COLORI E ALLESTIMENTI,https://www.autoscout24.it/annunci/bmw-120-m-sport-led-navi-vari-colori-e-allestimenti-benzina-bianco-accd540e-d4dd-469e-9d41-d86997be989c,28900,3,2022,18,automatico,Benzina,136,M Sport,Sport,,Rivenditore,77,arcole,37040,Veneto,Nord-est
BMW 118 i Sport Line LED NAVI VARI COLORI E ALLESTIMENTI,https://www.autoscout24.it/annunci/bmw-118-i-sport-line-led-navi-vari-colori-e-allestimenti-benzina-bianco-c1d939e4-090e-4881-ab6d-56bec3fd5904,23400,3,2022,19,automatico,Benzina,136,Sport Line,Middle,118i,Rivenditore,77,arcole,37040,Veneto,Nord-est
BMW 118 118i 5p. Msport,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-benzina-grigio-acebda7b-0d0d-4bf6-8f58-e620aef8784d,26900,3,2022,24,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
BMW 118 d 5p. Msport Auto,https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-auto-diesel-nero-acc84f2c-4d20-4328-9ea9-6e92617deac5,29900,1,2024,27,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,276,torino,10156,Piemonte,Nord-ovest
BMW 118 d 5p. Msport Auto,https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-auto-diesel-grigio-aef1b1a7-c2e3-45e6-a28b-efaa8b503e83,29900,1,2024,25,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,276,torino,10156,Piemonte,Nord-ovest
BMW 120 i 5p. Sport Line Automatica,https://www.autoscout24.it/annunci/bmw-120-i-5p-sport-line-automatica-benzina-bianco-c2086a68-6494-43c0-9f23-9370ff82ee06,27900,2,2023,15,automatico,Benzina,136,Sport Line,Middle,120i,Rivenditore,222,varese,21100,Lombardia,Nord-ovest
BMW 118 D M-SPORT LED NAVI,https://www.autoscout24.it/annunci/bmw-118-d-m-sport-led-navi-diesel-bianco-70477622-c0e3-4646-9db2-aa2433239c43,28900,3,2022,18,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,77,arcole,37040,Veneto,Nord-est
BMW 116 i MSport auto,https://www.autoscout24.it/annunci/bmw-116-i-msport-auto-benzina-blu-azzurro-2bf6ccf8-585a-43af-a7db-0587721d3706,27900,2,2023,31,automatico,Benzina,136,M Sport,Sport,116i,Rivenditore,389,paglieta,66020,Abruzzo,Sud
BMW 120 220d Gran Coupé Msport CON PROMO PLUS PREMIUM,https://www.autoscout24.it/annunci/bmw-120-220d-gran-coupe-msport-con-promo-plus-premium-diesel-bianco-038ea17b-e216-40cb-9a45-af4a59192ce5,26900,2,2023,45,automatico,Diesel,136,M Sport,Sport,,Rivenditore,201,alessandria,15122,Piemonte,Nord-ovest
"BMW 118 I Msport C.Lega17"" LED Clima2Zone M-Sport M Sport",https://www.autoscout24.it/annunci/bmw-118-i-msport-c-lega17-led-clima2zone-m-sport-m-sport-benzina-bianco-15a3f296-bcf7-4eca-8493-a01cd65a315b,26900,3,2022,22,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,93,campi bisenzio,50013,Toscana,Centro
BMW 120 Serie 1 F40 120d xdrive Msport auto,https://www.autoscout24.it/annunci/bmw-120-serie-1-f40-120d-xdrive-msport-auto-diesel-grigio-939b612f-4ca1-4b51-94f4-d867d70b981e,28500,5,2020,64,automatico,Diesel,136,M Sport,Sport,120d xDrive,Rivenditore,184,desio,20832,Lombardia,Nord-ovest
BMW 118 118i 5p. Msport,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-benzina-grigio-ba95434d-97a1-4d9a-b9b5-8c50620908bd,28900,1,2024,16,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
BMW 118 118d Msport AUTO CON NAVI E CARPLAY,https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-con-navi-e-carplay-diesel-nero-da6bb11b-35ef-4d9b-8b53-036e7bd1938d,29990,1,2024,15,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,383,latina,4100,Lazio,Centro
BMW 116 116d Msport auto,https://www.autoscout24.it/annunci/bmw-116-116d-msport-auto-diesel-grigio-d82047d4-dba7-4aa6-ba4c-c6954bb2f108,26800,4,2021,39,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,683,taranto,74121,Puglia,Sud
BMW 116 d 5p. Msport,https://www.autoscout24.it/annunci/bmw-116-d-5p-msport-diesel-nero-a764bdcb-0367-42a7-a027-dcbf417d65ee,22900,4,2021,69,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,750,lecce,73100,Puglia,Sud
BMW 118 118d 5P Sport auto my18 150cv E6D '17 PDC Navi IVA,https://www.autoscout24.it/annunci/bmw-118-118d-5p-sport-auto-my18-150cv-e6d-17-pdc-navi-iva-diesel-nero-72c60ec8-6375-4f28-bab8-0605d73c5455,20250,5,2020,66,automatico,Diesel,136,Sport Line,Middle,118d,Rivenditore,163,conegliano,31015,Veneto,Nord-est
BMW 120 5-porte 120d Msport xdrive auto,https://www.autoscout24.it/annunci/bmw-120-5-porte-120d-msport-xdrive-auto-diesel-bianco-cc5708ff-f1cd-4a3c-8f5f-111bba0ecbe1,31100,4,2021,41,automatico,Diesel,136,M Sport,Sport,120d,Rivenditore,194,corciano,6073,Umbria,Centro
BMW 118 118 i 5p. Msport M-sport *SCONTO IMMEDIATO*,https://www.autoscout24.it/annunci/bmw-118-118-i-5p-msport-m-sport-sconto-immediato-benzina-nero-e1054a9a-c2c7-48ef-9af8-7cc6dfc39472,29890,1,2024,9,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,101,padova,35129,Veneto,Nord-est
BMW 118 i 5p. 136CV Msport Steptronic *PROMO PARISI GROUP*,https://www.autoscout24.it/annunci/bmw-118-i-5p-136cv-msport-steptronic-promo-parisi-group-benzina-nero-22381335-4f49-4c71-956b-7e60bede2220,27900,1,2024,20,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,178,monza,20900,Lombardia,Nord-ovest
BMW 120 d xDrive 5p. AUTO/TETTO/NAVI/HARMANKARDON/CAMERA,https://www.autoscout24.it/annunci/bmw-120-d-xdrive-5p-auto-tetto-navi-harmankardon-camera-diesel-grigio-cd5c3eb5-a4dd-48b0-952c-9a26698124a2,27500,4,2021,40,automatico,Diesel,136,M,Performance,120d xDrive,Rivenditore,25,bologna,40132,Emilia-Romagna,Nord-est
BMW 116 d Msport auto,https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-diesel-nero-2d7ed005-9945-4e00-b561-c6003f120da7,24999,4,2021,65,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,77,baone,35030,Veneto,Nord-est
BMW 118 118i Msport 136cv Tettino-Led-Virtual-16.000km.!!,https://www.autoscout24.it/annunci/bmw-118-118i-msport-136cv-tettino-led-virtual-16-000km-benzina-blu-azzurro-04fe6a9a-98ad-46ce-a97a-b977563ec39a,28490,3,2022,15,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,459,sepino,86017,Molise,Sud
BMW 116 d Msport,https://www.autoscout24.it/annunci/bmw-116-d-msport-diesel-nero-2ffe2b0d-1e4b-48f6-aa20-2d504c592e22,23000,4,2021,67,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,98,vinci,50059,Toscana,Centro
BMW 118 118 i 5p. Msport M-sport *SCONTO IMMEDIATO*,https://www.autoscout24.it/annunci/bmw-118-118-i-5p-msport-m-sport-sconto-immediato-benzina-grigio-d8388386-2468-4daa-934b-394c5899e011,29890,1,2024,8,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,101,padova,35129,Veneto,Nord-est
BMW 118 i 5p. M sport NAVI AUTOMATICA,https://www.autoscout24.it/annunci/bmw-118-i-5p-m-sport-navi-automatica-benzina-blu-azzurro-40ca35b0-951d-43b4-bccc-fd44a69e9f27,26500,4,2021,67,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,222,varese,21100,Lombardia,Nord-ovest
BMW 116 116d Advantage auto,https://www.autoscout24.it/annunci/bmw-116-116d-advantage-auto-diesel-bianco-99d2187a-5e2d-4b7a-a27b-62863386d001,25900,1,2024,4,automatico,Diesel,136,Advantage,Base,116d,Rivenditore,177,genova,16163,Liguria,Nord-ovest
BMW 118 118i 5p. Msport VIRTUAL,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-virtual-benzina-bianco-21e0a83d-a986-4970-9317-575d7934d49f,26900,2,2023,19,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
BMW 118 118d Msport auto,https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-diesel-bianco-ca5fbda4-7625-4c14-93ad-a303e4fdcc6f,27500,5,2020,56,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,91,montecatiniterme,51016,Toscana,Centro
BMW 116 116d 5p. Business Advantage,https://www.autoscout24.it/annunci/bmw-116-116d-5p-business-advantage-diesel-nero-61e562d4-cfc1-4d53-a48d-e4697f1538a4,20690,4,2021,62,automatico,Diesel,136,Advantage,Base,116d,Rivenditore,127,venezia,30173,Veneto,Nord-est
BMW 118 118 i M sport,https://www.autoscout24.it/annunci/bmw-118-118-i-m-sport-benzina-grigio-f7e7cc10-6e73-4761-aa45-65a4764a2aeb,29000,1,2024,4,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,204,castellanza,21053,Lombardia,Nord-ovest
BMW 116 d 5p. Msport,https://www.autoscout24.it/annunci/bmw-116-d-5p-msport-diesel-nero-1861f066-54ce-4ae9-90d8-5bec2f61892a,22900,5,2020,52,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,218,casale monferrato,15033,Piemonte,Nord-ovest
BMW 118 118i 5p. Business Advantage VIRTUAL,https://www.autoscout24.it/annunci/bmw-118-118i-5p-business-advantage-virtual-benzina-blu-azzurro-2657d877-83f5-47d3-b462-9cfc31d69dce,21900,3,2022,25,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,262,chivasso,10034,Piemonte,Nord-ovest
BMW 116 i auto,https://www.autoscout24.it/annunci/bmw-116-i-auto-benzina-17f3b608-cd87-47af-a303-e4e55b7e7735,22700,3,2022,16,automatico,Benzina,136,M,Performance,116i,Rivenditore,140,livorno,57121,Toscana,Centro
BMW 116 d Msport auto,https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-diesel-nero-e886b4de-c78d-4809-a186-0aaaa19ea5f5,25900,4,2021,52,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,463,cancello ed arnone,81030,Campania,Sud
BMW 116 Serie 1 116i Advantage,https://www.autoscout24.it/annunci/bmw-116-serie-1-116i-advantage-benzina-grigio-f7ed4683-6115-4de1-bcee-d52e6e883120,24900,2,2023,41,automatico,Benzina,136,Advantage,Base,116i,Rivenditore,793,tricase,73039,Puglia,Sud
BMW 116 116d 5p. M Sport Aut.,https://www.autoscout24.it/annunci/bmw-116-116d-5p-m-sport-aut-diesel-bianco-85efce1f-cb08-405b-ba52-6664f401e2b8,27950,4,2021,34,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,326,roma,156,Lazio,Centro
BMW 116 116d 5p. Msport,https://www.autoscout24.it/annunci/bmw-116-116d-5p-msport-diesel-bianco-06c52022-d609-4d77-86e5-31f1a1c295fd,26500,3,2022,59,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,23,carpi,41012,Emilia-Romagna,Nord-est
BMW 118 118i Msport,https://www.autoscout24.it/annunci/bmw-118-118i-msport-benzina-blu-azzurro-7b3c8137-0d9b-4f09-ad28-9f05c3c10ecc,28699,3,2022,27,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,283,beinasco,10092,Piemonte,Nord-ovest
BMW 116 NEOPATENTATI*STUPENDA PERIZIATA/CERTIFICATA DEKRA,https://www.autoscout24.it/annunci/bmw-116-neopatentati-stupenda-periziata-certificata-dekra-diesel-nero-684b70fb-b4c1-42a7-907b-243e057e1740,24350,2,2023,53,automatico,Diesel,136,M,Performance,,Rivenditore,163,conegliano,31015,Veneto,Nord-est
BMW 120 d Advantage xdrive auto,https://www.autoscout24.it/annunci/bmw-120-d-advantage-xdrive-auto-diesel-blu-azzurro-3363e8eb-e6df-4e9a-ab89-16ec7c4a2560,30980,1,2024,21,automatico,Diesel,136,Advantage,Base,120d,Rivenditore,326,roma,178,Lazio,Centro
BMW 118 5-porte 118d ColorVision Edition auto,https://www.autoscout24.it/annunci/bmw-118-5-porte-118d-colorvision-edition-auto-diesel-nero-bfbb71a3-5b71-4a74-bde0-4120ba146119,32500,1,2024,16,automatico,Diesel,136,Edition,Base,118d,Rivenditore,194,corciano,6073,Umbria,Centro
BMW 116 (F40) 116d 5p. Business Advantage,https://www.autoscout24.it/annunci/bmw-116-f40-116d-5p-business-advantage-diesel-bianco-317a6539-ed8f-4ab1-8fb4-a1753e6303d1,24400,4,2021,44,automatico,Diesel,136,Advantage,Base,116d,Rivenditore,200,perugia,6132,Umbria,Centro
"BMW 118 bz Msport CAMBIO AUTO CERCHI 17,NAVI,LED,AZIENDALE",https://www.autoscout24.it/annunci/bmw-118-bz-msport-cambio-auto-cerchi-17-navi-led-aziendale-benzina-nero-84f70d3c-cc75-4a5c-acbc-53444acdb877,29900,1,2024,21,automatico,Benzina,136,M Sport,Sport,,Rivenditore,91,acquafredda,25010,Lombardia,Nord-ovest
BMW 116 d Msport,https://www.autoscout24.it/annunci/bmw-116-d-msport-diesel-bianco-06db2332-6666-4587-bc24-427ab637d580,29900,2,2023,33,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,98,vinci,50059,Toscana,Centro
BMW 118 d 5p. Msport Steptronic *PROMO PARISI GROUP*,https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-steptronic-promo-parisi-group-diesel-bianco-8ad19b7a-ad4c-451a-86e5-e24d278f2ccd,27850,1,2024,17,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,174,concorezzo,20863,Lombardia,Nord-ovest
BMW 118 i Sport auto,https://www.autoscout24.it/annunci/bmw-118-i-sport-auto-benzina-nero-35a2f375-143b-4e63-a932-a287def3b581,17000,5,2020,53,automatico,Benzina,136,Sport Line,Middle,118i,Rivenditore,177,milano,20142,Lombardia,Nord-ovest
BMW 118 118i 5p. Msport,https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-benzina-bianco-25e6c63f-5343-4621-9c3c-7f4453b44b70,26500,4,2021,21,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,102,lonato garda,25017,Lombardia,Nord-ovest
BMW 118 118i 5p. M Sport,https://www.autoscout24.it/annunci/bmw-118-118i-5p-m-sport-benzina-blu-azzurro-ac579424-e1cc-4a87-93d8-2f96a4cdd2d5,22700,5,2020,53,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,25,bologna,40133,Emilia-Romagna,Nord-est
BMW 118 Serie 1 118d M Sport M Sport Automatico,https://www.autoscout24.it/annunci/bmw-118-serie-1-118d-m-sport-m-sport-automatico-diesel-nero-28482cb6-5ade-4583-8117-e4868dc4c4d3,21990,3,2022,41,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,82,montemurlo,59013,Toscana,Centro
BMW 118 d Serie 1 F40 Sport auto,https://www.autoscout24.it/annunci/bmw-118-d-serie-1-f40-sport-auto-diesel-bianco-1718c10d-59c0-4429-977c-dac9df495971,22999,4,2021,59,automatico,Diesel,136,Sport Line,Middle,118d,Rivenditore,87,prato,59100,Toscana,Centro
BMW 118 i 5p. M SPORT F40 Aut TOP!!!,https://www.autoscout24.it/annunci/bmw-118-i-5p-m-sport-f40-aut-top-benzina-nero-ac3e521a-3b50-41d7-999f-9646c5eab479,21900,5,2020,40,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,326,roma,178,Lazio,Centro
"BMW 116 i 5p. Msport ""GARANZIA CASA MADRE""",https://www.autoscout24.it/annunci/bmw-116-i-5p-msport-garanzia-casa-madre-benzina-grigio-ae68284c-fa4e-4409-8687-d3992ef63bcd,23900,3,2022,26,automatico,Benzina,136,M Sport,Sport,116i,Rivenditore,65,parma,43126,Emilia-Romagna,Nord-est
BMW 120 120d M-SPORT/SEDILI A GUSCIO,https://www.autoscout24.it/annunci/bmw-120-120d-m-sport-sedili-a-guscio-diesel-nero-eff2ece7-da18-46da-a804-fa004dde3f7f,29000,5,2020,55,automatico,Diesel,136,M Sport,Sport,120d,Rivenditore,275,savigliano,12038,Piemonte,Nord-ovest
BMW 116 d Msport auto,https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-diesel-grigio-0acb9e21-ee98-48a7-b6c4-b0adf93fbbf2,23000,2,2023,47,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,177,milano,20142,Lombardia,Nord-ovest
BMW 118 d 5p. Msport Aut.,https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-aut-diesel-bianco-a72c6815-2bde-4b03-a096-835295739fe6,25900,4,2021,65,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,103,vicenza,36100,Veneto,Nord-est
BMW 116 d Msport auto,https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-diesel-831694fd-9820-4f81-82e8-defa63b66599,23000,4,2021,48,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,177,milano,20142,Lombardia,Nord-ovest
BMW 118 Serie 1 F40 118d Msport auto,https://www.autoscout24.it/annunci/bmw-118-serie-1-f40-118d-msport-auto-diesel-bianco-c813e9c7-56da-4407-8ec0-38c0cb246fb1,28000,4,2021,55,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,291,canale monterano,60,Lazio,Centro
BMW 118 d Msport auto,https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-9b552e80-0d3e-4d19-9a40-2d2d0929ddd1,26000,1,2024,11,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,177,milano,20142,Lombardia,Nord-ovest
BMW 118 I M-SPORT LED NAVI VARI COLORI E ALLESTIMENTI,https://www.autoscout24.it/annunci/bmw-118-i-m-sport-led-navi-vari-colori-e-allestimenti-benzina-grigio-2436436c-2fd5-45e6-ac08-885039f96191,26500,2,2023,19,automatico,Benzina,136,M Sport,Sport,118i,Rivenditore,77,arcole,37040,Veneto,Nord-est
BMW 120 d xDrive 5p. Msport Unicoproprietario,https://www.autoscout24.it/annunci/bmw-120-d-xdrive-5p-msport-unicoproprietario-diesel-blu-azzurro-66d76e60-553a-4d59-82d3-a95d8a1b8c72,29900,3,2022,60,automatico,Diesel,136,M Sport,Sport,120d xDrive,Rivenditore,212,spilimbergo,33097,Friuli-Venezia Giulia,Nord-est
BMW 118 Serie 1 F40 118d Color Vision Edition auto 150cv,https://www.autoscout24.it/annunci/bmw-118-serie-1-f40-118d-color-vision-edition-auto-150cv-diesel-nero-30fcc6a7-84ba-42bf-99db-df24603d468c,22500,5,2020,66,automatico,Diesel,136,Edition,Base,118d,Rivenditore,337,casape,10,Lazio,Centro
BMW 116 116d Msport auto,https://www.autoscout24.it/annunci/bmw-116-116d-msport-auto-diesel-nero-37eb8afa-5bb8-4a69-a0be-ec58f7d2ebb4,25900,4,2021,55,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,86,verona,37138,Veneto,Nord-est
BMW 118 d 5p. Msport CAMBIO AUTOMATICO,https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-cambio-automatico-diesel-grigio-18c6fb06-2b72-44b9-9a71-db788de6ec40,26000,4,2021,64,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,326,roma,159,Lazio,Centro
BMW 118 118d 5p. M Sport,https://www.autoscout24.it/annunci/bmw-118-118d-5p-m-sport-diesel-grigio-f5f7e3cd-8365-4f94-8b8f-37ad97177f36,26960,4,2021,67,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,196,saronno,21047,Lombardia,Nord-ovest
"BMW 116 116d 5p auto CERCHI 18""-PDC-NAVY-CRUISE-CAR PLAY",https://www.autoscout24.it/annunci/bmw-116-116d-5p-auto-cerchi-18-pdc-navy-cruise-car-play-diesel-grigio-b86cc4c2-1e6c-433a-9be2-8dc74e8d456c,22900,4,2021,68,automatico,Diesel,136,M,Performance,116d,Rivenditore,204,bolzano,39100,Trentino-Alto Adige/Südtirol,Nord-est
BMW 116 d 5p. Msport Automatica,https://www.autoscout24.it/annunci/bmw-116-d-5p-msport-automatica-diesel-nero-a8fb026d-fd76-4904-9881-6ff8bbe9b221,26900,4,2021,62,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,57,imola,40026,Emilia-Romagna,Nord-est
BMW 116 116d Msport auto PERMUTE IVA ESPOSTA OK NEOPAT.,https://www.autoscout24.it/annunci/bmw-116-116d-msport-auto-permute-iva-esposta-ok-neopat-diesel-bianco-28a37e21-c10a-42b8-813f-2841c1a86ece,23990,2,2023,48,automatico,Diesel,136,M Sport,Sport,116d,Rivenditore,65,parma,43122,Emilia-Romagna,Nord-est
BMW 118 118d 5p. MSport Pro,https://www.autoscout24.it/annunci/bmw-118-118d-5p-msport-pro-diesel-grigio-90357643-de1d-43ee-b95e-e0ad05dcf969,28900,4,2021,68,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,695,san michele salentino,72018,Puglia,Sud
BMW 118 118i Business Advantage 136cv auto,https://www.autoscout24.it/annunci/bmw-118-118i-business-advantage-136cv-auto-benzina-nero-b429a563-aa16-43bc-9833-ddf06e175e44,25000,1,2024,12,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,256,verolengo,10038,Piemonte,Nord-ovest
"BMW 120 120i Msport auto Shadow line 2020 178cv 18""",https://www.autoscout24.it/annunci/bmw-120-120i-msport-auto-shadow-line-2020-178cv-18-benzina-nero-7f55b115-6148-4da4-aad9-300bfbc7237d,24900,5,2020,66,automatico,Benzina,136,M Sport,Sport,120i,Rivenditore,342,monte compatri,77,Lazio,Centro
BMW 118 118d Msport auto,https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-diesel-bianco-d247915f-00c7-4211-b2d9-02c1f0a7a0c9,26999,4,2021,50,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,47,guastalla,42016,Emilia-Romagna,Nord-est
BMW 116 i 5p. Advantage Aut.,https://www.autoscout24.it/annunci/bmw-116-i-5p-advantage-aut-benzina-bianco-36e37b1b-f487-4599-85d8-9ef818244abf,20900,3,2022,45,automatico,Benzina,136,Advantage,Base,116i,Rivenditore,103,vicenza,36100,Veneto,Nord-est
BMW 118 d Msport auto,https://www.autoscout24.it/annunci/bmw-118-d-msport-auto-diesel-bianco-323424b3-e19a-48f1-a2a7-bf64171034b2,26960,3,2022,66,automatico,Diesel,136,M Sport,Sport,118d,Rivenditore,326,roma,138,Lazio,Centro
"BMW 118 i Business Advantage ""18 Msport/Navi/Park/OK NEOP",https://www.autoscout24.it/annunci/bmw-118-i-business-advantage-18-msport-navi-park-ok-neop-benzina-grigio-2d291dd2-5285-42e7-832e-1c413b33ad77,19700,4,2021,62,automatico,Benzina,136,Advantage,Base,118i,Rivenditore,275,savigliano,12038,Piemonte,Nord-ovest
BMW 116 d Business Advantage,https://www.autoscout24.it/annunci/bmw-116-d-business-advantage-diesel-bianco-fb3bcd36-f550-4fcb-a31c-0b4016f682a6,19900,5,2020,64,automatico,Diesel,136,Advantage,Base,116d,Rivenditore,16,modena,41123,Emilia-Romagna,Nord-est
