Annuncio,Link,Marca,Modello,Modello_plus_info,Prezzo_scont,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Località
"BMW
120
d Msport xdrive auto",https://www.autoscout24.it/annunci/bmw-120-d-msport-xdrive-auto-diesel-nero-a600b8b4-bf93-4fe8-ba98-502c9fa1cf3a,BMW,120,d Msport xdrive auto,€ 31.000,,39.791 km,Automatico,08/2020,Diesel,140 kW (190 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
118
D MSPORT 2.0cc 150CV",https://www.autoscout24.it/annunci/bmw-118-d-msport-2-0cc-150cv-diesel-grigio-d1056538-d38c-488d-a9d1-24a8e32d266b,BMW,118,D MSPORT 2.0cc 150CV,,€ 27.990,49.000 km,Automatico,01/2021,Diesel,110 kW (150 CV),Valerio De Buglio • IT-23030 Villa Di Tirano - Sondrio - SO
"BMW
120
M-SPORT LED NAVI VARI COLORI E ALLESTIMENTI",https://www.autoscout24.it/annunci/bmw-120-m-sport-led-navi-vari-colori-e-allestimenti-benzina-bianco-accd540e-d4dd-469e-9d41-d86997be989c,BMW,120,M-SPORT LED NAVI VARI COLORI E ALLESTIMENTI,,€ 28.900,18.300 km,Automatico,08/2022,Benzina,140 kW (190 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"BMW
118
i Sport Line LED NAVI VARI COLORI E ALLESTIMENTI",https://www.autoscout24.it/annunci/bmw-118-i-sport-line-led-navi-vari-colori-e-allestimenti-benzina-bianco-c1d939e4-090e-4881-ab6d-56bec3fd5904,BMW,118,i Sport Line LED NAVI VARI COLORI E ALLESTIMENTI,,€ 23.400,19.500 km,Automatico,09/2022,Benzina,103 kW (140 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"BMW
118
118i 5p. Msport",https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-benzina-grigio-acebda7b-0d0d-4bf6-8f58-e620aef8784d,BMW,118,118i 5p. Msport,,€ 26.900,24.000 km,Automatico,11/2022,Benzina,100 kW (136 CV),Automobile Torino • IT-10034 Chivasso - Torino
"BMW
118
d 5p. Msport Auto",https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-auto-diesel-nero-acc84f2c-4d20-4328-9ea9-6e92617deac5,BMW,118,d 5p. Msport Auto,,€ 29.900,27.500 km,Automatico,02/2024,Diesel,110 kW (150 CV),Reparto vendite commerciale • IT-10156 Torino - To
"BMW
118
d 5p. Msport Auto",https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-auto-diesel-grigio-aef1b1a7-c2e3-45e6-a28b-efaa8b503e83,BMW,118,d 5p. Msport Auto,,€ 29.900,25.665 km,Automatico,02/2024,Diesel,110 kW (150 CV),Reparto vendite commerciale • IT-10156 Torino - To
"BMW
120
i 5p. Sport Line Automatica",https://www.autoscout24.it/annunci/bmw-120-i-5p-sport-line-automatica-benzina-bianco-c2086a68-6494-43c0-9f23-9370ff82ee06,BMW,120,i 5p. Sport Line Automatica,,€ 27.900,15.900 km,Automatico,11/2023,Benzina,131 kW (178 CV),Auto & Auto Varese • IT-21100 Varese - Va
"BMW
118
D M-SPORT LED NAVI",https://www.autoscout24.it/annunci/bmw-118-d-m-sport-led-navi-diesel-bianco-70477622-c0e3-4646-9db2-aa2433239c43,BMW,118,D M-SPORT LED NAVI,,€ 28.900,18.300 km,Automatico,12/2022,Diesel,110 kW (150 CV),Ufficio Vendite Race Car • IT-37040 Z.a.i. - Verona - VR
"BMW
116
i MSport auto",https://www.autoscout24.it/annunci/bmw-116-i-msport-auto-benzina-blu-azzurro-2bf6ccf8-585a-43af-a7db-0587721d3706,BMW,116,i MSport auto,,€ 27.900,31.947 km,Automatico,04/2023,Benzina,80 kW (109 CV),IT-66020 San Giovanni Teatino - Sambuceto - Chieti - Ch
"BMW
120
220d Gran Coupé Msport CON PROMO PLUS PREMIUM",https://www.autoscout24.it/annunci/bmw-120-220d-gran-coupe-msport-con-promo-plus-premium-diesel-bianco-038ea17b-e216-40cb-9a45-af4a59192ce5,BMW,120,220d Gran Coupé Msport  CON PROMO PLUS PREMIUM,,€ 26.900,45.000 km,Automatico,03/2023,Diesel,140 kW (190 CV),Ufficio vendite • IT-15122 Alessandria - AL
"BMW
118
I Msport C.Lega17"" LED Clima2Zone M-Sport M Sport",https://www.autoscout24.it/annunci/bmw-118-i-msport-c-lega17-led-clima2zone-m-sport-m-sport-benzina-bianco-15a3f296-bcf7-4eca-8493-a01cd65a315b,BMW,118,"I Msport C.Lega17"" LED Clima2Zone M-Sport M Sport",,€ 26.900,22.000 km,Automatico,03/2022,Benzina,103 kW (140 CV),Cristina R • IT-50013 Campi Bisenzio - Firenze
"BMW
120
Serie 1 F40 120d xdrive Msport auto",https://www.autoscout24.it/annunci/bmw-120-serie-1-f40-120d-xdrive-msport-auto-diesel-grigio-939b612f-4ca1-4b51-94f4-d867d70b981e,BMW,120,Serie 1 F40 120d xdrive Msport auto,,€ 28.500,64.900 km,Automatico,07/2020,Diesel,140 kW (190 CV),Emanuele Bersani • IT-20832 Desio - MB
"BMW
118
118i 5p. Msport",https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-benzina-grigio-ba95434d-97a1-4d9a-b9b5-8c50620908bd,BMW,118,118i 5p. Msport,,€ 28.900,16.000 km,Automatico,04/2024,Benzina,100 kW (136 CV),Automobile Torino • IT-10034 Chivasso - Torino
"BMW
118
118d Msport AUTO CON NAVI E CARPLAY",https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-con-navi-e-carplay-diesel-nero-da6bb11b-35ef-4d9b-8b53-036e7bd1938d,BMW,118,118d Msport AUTO CON NAVI E CARPLAY,,€ 29.990,15.337 km,Automatico,03/2024,Diesel,110 kW (150 CV),Latina Cars • IT-04100 Latina - Lt
"BMW
116
116d Msport auto",https://www.autoscout24.it/annunci/bmw-116-116d-msport-auto-diesel-grigio-d82047d4-dba7-4aa6-ba4c-c6954bb2f108,BMW,116,116d Msport auto,,€ 26.800,39.000 km,Automatico,04/2021,Diesel,85 kW (116 CV),fabio albano • IT-74121 Taranto - Ta
,https://www.autoscout24.it/annunci/bmw-118-118i-msport-5p-auto-cerchi-19-freni-m-sport-benzina-nero-4f1f52a8-406c-40ef-a8ad-b080ff9dbc96,BMW,118,"118i Msport 5p auto CERCHI 19"" FRENI M SPORT",,,,,,,,Marco Emercar • IT-27010 Vellezzo Bellini - PV
"BMW
116
d 5p. Msport",https://www.autoscout24.it/annunci/bmw-116-d-5p-msport-diesel-nero-a764bdcb-0367-42a7-a027-dcbf417d65ee,BMW,116,d 5p. Msport,,€ 22.900,69.388 km,Automatico,06/2021,Diesel,85 kW (116 CV),Tullio Marino • IT-73100 Lecce - Le
"BMW
118
118d 5P Sport auto my18 150cv E6D '17 PDC Navi IVA",https://www.autoscout24.it/annunci/bmw-118-118d-5p-sport-auto-my18-150cv-e6d-17-pdc-navi-iva-diesel-nero-72c60ec8-6375-4f28-bab8-0605d73c5455,BMW,118,118d 5P Sport auto my18 150cv E6D '17 PDC Navi IVA,,€ 20.250,66.284 km,Automatico,06/2020,Diesel,110 kW (150 CV),Paolo Lucchetta • IT-31015 Conegliano - Treviso - Tv
"BMW
120
5-porte 120d Msport xdrive auto",https://www.autoscout24.it/annunci/bmw-120-5-porte-120d-msport-xdrive-auto-diesel-bianco-cc5708ff-f1cd-4a3c-8f5f-111bba0ecbe1,BMW,120,5-porte 120d Msport xdrive auto,€ 31.100,,41.657 km,Automatico,06/2021,Diesel,140 kW (190 CV),Contatta Il Nostro Team Vendita!! • IT-06073 Corciano - Perugia - Pg
"BMW
118
118 i 5p. Msport M-sport *SCONTO IMMEDIATO*",https://www.autoscout24.it/annunci/bmw-118-118-i-5p-msport-m-sport-sconto-immediato-benzina-nero-e1054a9a-c2c7-48ef-9af8-7cc6dfc39472,BMW,118,118 i 5p. Msport M-sport *SCONTO IMMEDIATO*,,€ 29.890,9.176 km,Automatico,05/2024,Benzina,100 kW (136 CV),Responsabile Vendite • IT-35129 Padova - Pd
"BMW
118
i 5p. 136CV Msport Steptronic *PROMO PARISI GROUP*",https://www.autoscout24.it/annunci/bmw-118-i-5p-136cv-msport-steptronic-promo-parisi-group-benzina-nero-22381335-4f49-4c71-956b-7e60bede2220,BMW,118,i 5p. 136CV Msport Steptronic *PROMO PARISI GROUP*,,€ 27.900,20.813 km,Automatico,02/2024,Benzina,100 kW (136 CV),Responsabile Vendite • IT-20900 Monza MB
"BMW
120
d xDrive 5p. AUTO/TETTO/NAVI/HARMANKARDON/CAMERA",https://www.autoscout24.it/annunci/bmw-120-d-xdrive-5p-auto-tetto-navi-harmankardon-camera-diesel-grigio-cd5c3eb5-a4dd-48b0-952c-9a26698124a2,BMW,120,d xDrive 5p. AUTO/TETTO/NAVI/HARMANKARDON/CAMERA,,€ 27.500,40.000 km,Automatico,05/2021,Diesel,140 kW (190 CV),Federico Ferriani • IT-40132 Bologna - Bo
"BMW
116
d Msport auto",https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-diesel-nero-2d7ed005-9945-4e00-b561-c6003f120da7,BMW,116,d Msport auto,,€ 24.999,65.000 km,Automatico,05/2021,Diesel,85 kW (116 CV),Emanuele . • IT-35030 Selvazzano Dentro - PD
"BMW
118
118i Msport 136cv Tettino-Led-Virtual-16.000km.!!",https://www.autoscout24.it/annunci/bmw-118-118i-msport-136cv-tettino-led-virtual-16-000km-benzina-blu-azzurro-04fe6a9a-98ad-46ce-a97a-b977563ec39a,BMW,118,118i Msport 136cv Tettino-Led-Virtual-16.000km.!!,,€ 28.490,15.800 km,Semiautomatico,06/2022,Benzina,100 kW (136 CV),Serafino Vicenzo • IT-86017 Sepino - Campobasso - CB
"BMW
116
d Msport",https://www.autoscout24.it/annunci/bmw-116-d-msport-diesel-nero-2ffe2b0d-1e4b-48f6-aa20-2d504c592e22,BMW,116,d Msport,,€ 23.000,67.220 km,Automatico,02/2021,Diesel,85 kW (116 CV),Resp. Vendite • IT-50059 Vinci - Firenze - Fi
"BMW
118
118 i 5p. Msport M-sport *SCONTO IMMEDIATO*",https://www.autoscout24.it/annunci/bmw-118-118-i-5p-msport-m-sport-sconto-immediato-benzina-grigio-d8388386-2468-4daa-934b-394c5899e011,BMW,118,118 i 5p. Msport M-sport *SCONTO IMMEDIATO*,,€ 29.890,8.199 km,Automatico,05/2024,Benzina,100 kW (136 CV),Responsabile Vendite • IT-35129 Padova - Pd
"BMW
118
i 5p. M sport NAVI AUTOMATICA",https://www.autoscout24.it/annunci/bmw-118-i-5p-m-sport-navi-automatica-benzina-blu-azzurro-40ca35b0-951d-43b4-bccc-fd44a69e9f27,BMW,118,i 5p. M sport NAVI AUTOMATICA,,€ 26.500,67.300 km,Automatico,05/2021,Benzina,100 kW (136 CV),Auto & Auto Varese • IT-21100 Varese - Va
"BMW
116
116d Advantage auto",https://www.autoscout24.it/annunci/bmw-116-116d-advantage-auto-diesel-bianco-99d2187a-5e2d-4b7a-a27b-62863386d001,BMW,116,116d Advantage auto,,€ 25.900,4.763 km,Automatico,04/2024,Diesel,85 kW (116 CV),Team Web . • IT-16163 Genova - Ge
"BMW
118
118i 5p. Msport VIRTUAL",https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-virtual-benzina-bianco-21e0a83d-a986-4970-9317-575d7934d49f,BMW,118,118i 5p. Msport VIRTUAL,,€ 26.900,19.000 km,Automatico,12/2023,Benzina,100 kW (136 CV),Automobile Torino • IT-10034 Chivasso - Torino
"BMW
118
118d Msport auto",https://www.autoscout24.it/annunci/bmw-118-118d-msport-auto-diesel-bianco-ca5fbda4-7625-4c14-93ad-a303e4fdcc6f,BMW,118,118d Msport auto,,€ 27.500,56.019 km,Semiautomatico,11/2020,Diesel,110 kW (150 CV),Auto Toscana • IT-51016 Montecatini Terme
"BMW
116
116d 5p. Business Advantage",https://www.autoscout24.it/annunci/bmw-116-116d-5p-business-advantage-diesel-nero-61e562d4-cfc1-4d53-a48d-e4697f1538a4,BMW,116,116d 5p. Business Advantage,,€ 20.690,62.881 km,Automatico,03/2021,Diesel,85 kW (116 CV),Responsabile Usato • IT-30173 Venezia
"BMW
118
118 i M sport",https://www.autoscout24.it/annunci/bmw-118-118-i-m-sport-benzina-grigio-f7e7cc10-6e73-4761-aa45-65a4764a2aeb,BMW,118,118 i M sport,,€ 29.000,4.680 km,Automatico,05/2024,Benzina,100 kW (136 CV),Autosalone Alma • IT-21053 Castellanza - Varese - VA
"BMW
116
d 5p. Msport",https://www.autoscout24.it/annunci/bmw-116-d-5p-msport-diesel-nero-1861f066-54ce-4ae9-90d8-5bec2f61892a,BMW,116,d 5p. Msport,,€ 22.900,52.000 km,Automatico,10/2020,Diesel,85 kW (116 CV),Riccardo Panelli • IT-15033 Casale Monferrato Alessandria - AL -
"BMW
118
118i 5p. Business Advantage VIRTUAL",https://www.autoscout24.it/annunci/bmw-118-118i-5p-business-advantage-virtual-benzina-blu-azzurro-2657d877-83f5-47d3-b462-9cfc31d69dce,BMW,118,118i 5p. Business Advantage VIRTUAL,,€ 21.900,25.000 km,Automatico,05/2022,Benzina,100 kW (136 CV),Automobile Torino • IT-10034 Chivasso - Torino
,https://www.autoscout24.it/annunci/bmw-116-i-sport-benzina-blu-azzurro-12ecea2d-be44-48a9-892e-82430e61e194,BMW,116,i Sport,,,,,,,,Nicole Tolomei • IT-41123 Modena - Mo
"BMW
116
i auto",https://www.autoscout24.it/annunci/bmw-116-i-auto-benzina-17f3b608-cd87-47af-a303-e4e55b7e7735,BMW,116,i auto,,€ 22.700,16.100 km,Automatico,10/2022,Benzina,80 kW (109 CV),Scotti Ugo Automobili • IT-57121 Livorno
"BMW
116
d Msport auto",https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-diesel-nero-e886b4de-c78d-4809-a186-0aaaa19ea5f5,BMW,116,d Msport auto,,€ 25.900,52.935 km,Automatico,10/2021,Diesel,85 kW (116 CV),Giuseppe Della Valle • IT-81030 Teverola - Caserta - Ce
"BMW
116
Serie 1 116i Advantage",https://www.autoscout24.it/annunci/bmw-116-serie-1-116i-advantage-benzina-grigio-f7ed4683-6115-4de1-bcee-d52e6e883120,BMW,116,Serie 1 116i Advantage,,€ 24.900,41.529 km,Automatico,07/2023,Benzina,80 kW (109 CV),Andrea Sodero • IT-73039 Tricase - Lecce - LE
"BMW
116
116d 5p. M Sport Aut.",https://www.autoscout24.it/annunci/bmw-116-116d-5p-m-sport-aut-diesel-bianco-85efce1f-cb08-405b-ba52-6664f401e2b8,BMW,116,116d 5p. M Sport Aut.,,€ 27.950,34.863 km,Automatico,07/2021,Diesel,85 kW (116 CV),IT-00156 Roma - Rm
"BMW
118
d Advantage auto *PREZZO REALE*",https://www.autoscout24.it/annunci/bmw-118-d-advantage-auto-prezzo-reale-diesel-rosso-3f6ea929-88ad-48ab-b3ba-b18db767d396,BMW,118,d Advantage auto *PREZZO REALE*,,€ 22.900,48.506 km,Automatico,07/2020,Diesel,110 kW (150 CV),Gianni Abate • IT-20215 Milano
"BMW
116
116d 5p. Msport",https://www.autoscout24.it/annunci/bmw-116-116d-5p-msport-diesel-bianco-06c52022-d609-4d77-86e5-31f1a1c295fd,BMW,116,116d 5p. Msport,,€ 26.500,59.000 km,Automatico,03/2022,Diesel,85 kW (116 CV),PRIVACAR CARPI Baciu Anca Catalina • IT-41012 Carpi - Modena - MO
"BMW
118
118i Msport",https://www.autoscout24.it/annunci/bmw-118-118i-msport-benzina-blu-azzurro-7b3c8137-0d9b-4f09-ad28-9f05c3c10ecc,BMW,118,118i Msport,,€ 28.699,27.435 km,Automatico,08/2022,Benzina,100 kW (136 CV),Responsabile Vendite • IT-10092 Beinasco - TO
"BMW
116
NEOPATENTATI*STUPENDA PERIZIATA/CERTIFICATA DEKRA",https://www.autoscout24.it/annunci/bmw-116-neopatentati-stupenda-periziata-certificata-dekra-diesel-nero-684b70fb-b4c1-42a7-907b-243e057e1740,BMW,116,NEOPATENTATI*STUPENDA PERIZIATA/CERTIFICATA DEKRA,,€ 24.350,53.000 km,Automatico,01/2023,Diesel,85 kW (116 CV),"Antonella, Maurizio, Lorenzo, Marta Gold Lion's Car • IT-31015 Conegliano - Treviso - Tv"
"BMW
120
d Advantage xdrive auto",https://www.autoscout24.it/annunci/bmw-120-d-advantage-xdrive-auto-diesel-blu-azzurro-3363e8eb-e6df-4e9a-ab89-16ec7c4a2560,BMW,120,d Advantage xdrive auto,€ 30.980,,21.813 km,Automatico,06/2024,Diesel,140 kW (190 CV),BMW Roma • IT-00178 Roma - Rm
"BMW
118
5-porte 118d ColorVision Edition auto",https://www.autoscout24.it/annunci/bmw-118-5-porte-118d-colorvision-edition-auto-diesel-nero-bfbb71a3-5b71-4a74-bde0-4120ba146119,BMW,118,5-porte 118d ColorVision Edition auto,€ 32.500,,16.225 km,Automatico,02/2024,Diesel,110 kW (150 CV),Contatta Il Nostro Team Vendita!! • IT-06073 Corciano - Perugia - Pg
"BMW
116
(F40) 116d 5p. Business Advantage",https://www.autoscout24.it/annunci/bmw-116-f40-116d-5p-business-advantage-diesel-bianco-317a6539-ed8f-4ab1-8fb4-a1753e6303d1,BMW,116,(F40) 116d 5p. Business Advantage,,€ 24.400,44.894 km,Automatico,02/2021,Diesel,85 kW (116 CV),Paolo Rugini • IT-06132 Perugia
"BMW
118
bz Msport CAMBIO AUTO CERCHI 17,NAVI,LED,AZIENDALE",https://www.autoscout24.it/annunci/bmw-118-bz-msport-cambio-auto-cerchi-17-navi-led-aziendale-benzina-nero-84f70d3c-cc75-4a5c-acbc-53444acdb877,BMW,118,"bz Msport CAMBIO AUTO CERCHI 17,NAVI,LED,AZIENDALE",,€ 29.900,21.321 km,Automatico,01/2024,Benzina,100 kW (136 CV),Gruppo Carmeli Responsabile Commerciale • IT-25010 San Zeno Naviglio
"BMW
116
d Msport",https://www.autoscout24.it/annunci/bmw-116-d-msport-diesel-bianco-06db2332-6666-4587-bc24-427ab637d580,BMW,116,d Msport,,€ 29.900,33.500 km,Automatico,09/2023,Diesel,85 kW (116 CV),Resp. Vendite • IT-50059 Vinci - Firenze - Fi
"BMW
118
d 5p. Msport Steptronic *PROMO PARISI GROUP*",https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-steptronic-promo-parisi-group-diesel-bianco-8ad19b7a-ad4c-451a-86e5-e24d278f2ccd,BMW,118,d 5p. Msport Steptronic *PROMO PARISI GROUP*,,€ 27.850,17.510 km,Automatico,02/2024,Diesel,110 kW (150 CV),Giuseppe Forte • IT-20863 Concorezzo - MB
"BMW
118
i Sport auto",https://www.autoscout24.it/annunci/bmw-118-i-sport-auto-benzina-nero-35a2f375-143b-4e63-a932-a287def3b581,BMW,118,i Sport auto,,€ 17.000,53.940 km,Automatico,06/2020,Benzina,103 kW (140 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
118
118i 5p. Msport",https://www.autoscout24.it/annunci/bmw-118-118i-5p-msport-benzina-bianco-25e6c63f-5343-4621-9c3c-7f4453b44b70,BMW,118,118i 5p. Msport,,€ 26.500,21.041 km,Automatico,07/2021,Benzina,100 kW (136 CV),Andrea Pluda • IT-25017 Desenzano Del Garda - Brescia - BS
"BMW
118
118i 5p. M Sport",https://www.autoscout24.it/annunci/bmw-118-118i-5p-m-sport-benzina-blu-azzurro-ac579424-e1cc-4a87-93d8-2f96a4cdd2d5,BMW,118,118i 5p. M Sport,,€ 22.700,53.186 km,Automatico,02/2020,Benzina,103 kW (140 CV),Servizio Clienti • IT-40133 Bologna - Bo
"BMW
118
Serie 1 118d M Sport M Sport Automatico",https://www.autoscout24.it/annunci/bmw-118-serie-1-118d-m-sport-m-sport-automatico-diesel-nero-28482cb6-5ade-4583-8117-e4868dc4c4d3,BMW,118,Serie 1 118d M Sport M Sport Automatico,,€ 21.990,41.579 km,Automatico,04/2022,Diesel,110 kW (150 CV),Rossomandi Auto • IT-59013 Montemurlo - Prato - PT
,https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-unico-proprietario-ok-neopatentati-diesel-bianco-042f4e0d-8b92-4594-9a69-8613d77d71f0,BMW,116,d Msport auto UNICO PROPRIETARIO OK NEOPATENTATI,,,,,,,,Giuseppe Giussani • IT-20811 Cesano Maderno - Monza Brianza - Mb
"BMW
118
d Serie 1 F40 Sport auto",https://www.autoscout24.it/annunci/bmw-118-d-serie-1-f40-sport-auto-diesel-bianco-1718c10d-59c0-4429-977c-dac9df495971,BMW,118,d Serie 1 F40 Sport auto,,€ 22.999,59.000 km,Automatico,01/2021,Diesel,110 kW (150 CV),Paolo Martinuzzi • IT-59100 Prato – Po
"BMW
118
i 5p. M SPORT F40 Aut TOP!!!",https://www.autoscout24.it/annunci/bmw-118-i-5p-m-sport-f40-aut-top-benzina-nero-ac3e521a-3b50-41d7-999f-9646c5eab479,BMW,118,i 5p. M SPORT F40 Aut  TOP!!!,,€ 21.900,40.000 km,Automatico,07/2020,Benzina,103 kW (140 CV),Ufficio Vendite • IT-00178 Roma RM
"BMW
116
i 5p. Msport ""GARANZIA CASA MADRE""",https://www.autoscout24.it/annunci/bmw-116-i-5p-msport-garanzia-casa-madre-benzina-grigio-ae68284c-fa4e-4409-8687-d3992ef63bcd,BMW,116,"i 5p. Msport ""GARANZIA CASA MADRE""",,€ 23.900,26.400 km,Automatico,06/2022,Benzina,80 kW (109 CV),ALESSANDRO DE LUCA • IT-43126 Parma
"BMW
120
120d M-SPORT/SEDILI A GUSCIO",https://www.autoscout24.it/annunci/bmw-120-120d-m-sport-sedili-a-guscio-diesel-nero-eff2ece7-da18-46da-a804-fa004dde3f7f,BMW,120,120d M-SPORT/SEDILI A GUSCIO,,€ 29.000,55.890 km,Automatico,11/2020,Diesel,140 kW (190 CV),Alessandro usato • IT-12038 Savigliano - Cuneo
"BMW
116
d Msport auto",https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-diesel-grigio-0acb9e21-ee98-48a7-b6c4-b0adf93fbbf2,BMW,116,d Msport auto,,€ 23.000,47.343 km,Automatico,01/2023,Diesel,85 kW (116 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
"BMW
118
d 5p. Msport Aut.",https://www.autoscout24.it/annunci/bmw-118-d-5p-msport-aut-diesel-bianco-a72c6815-2bde-4b03-a096-835295739fe6,BMW,118,d 5p. Msport Aut.,,€ 25.900,65.903 km,Automatico,10/2021,Diesel,110 kW (150 CV),IT-36100 Vicenza - Vi
"BMW
116
d Msport auto",https://www.autoscout24.it/annunci/bmw-116-d-msport-auto-diesel-831694fd-9820-4f81-82e8-defa63b66599,BMW,116,d Msport auto,,€ 23.000,48.241 km,Automatico,12/2021,Diesel,85 kW (116 CV),BYmyCAR Sedi: MILANO - SAN DONATO M.SE BYmyCAR Sedi: MILANO - SAN DONATO M.SE • IT-20142 Milano - Mi
