Annuncio,Modello,Link,Link2,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,Tipologia,CV,Località,Venditore
Mercedes-Benz Classe A - BMW 120 I 178CV M-SPORT CARPLAY/VITRUAL*,"BMW Serie 1 120i
BMW 120 I 178CV M-SPORT CARPLAY/VITRUAL*",https://autosupermarket.it/annunci/bmw-serie-1-120i-benzina-2023-a142bf63662fee56?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-120i-benzina-2023-a142bf63662fee56?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm, 28.900 €,49.900 km ,Aut. 7 marce ,"Mag, 2023",Benzina,Usata,131kW (179CV) ,00132 Roma (RM),COMPETITION CARS S.R.L.
Mercedes-Benz Classe A - d 5p. Msport M PERFORMANCE KM 0,"BMW Serie 1 M
d 5p. Msport M PERFORMANCE KM 0",https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2025-6c5d2fd5ea51dd0e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2025-6c5d2fd5ea51dd0e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm, 38.499 €,100 km ,Aut. 8 marce ,"Mag, 2025",Diesel,Nuova,110kW (150CV) ,72012 Carovigno (BR),AUTO SIMEONE SRL
Mercedes-Benz Classe A -  - 118d msport auto,BMW Serie 1 118d  - 118d msport auto,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-75a79eb75e21efff?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2021-75a79eb75e21efff?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,"26.900 €
    
    
    

- 1% 26.800 €",85.903 km ,Aut. ,"Giu, 2021",Diesel,Usata,110kW (150CV) ,62010 Montecosaro (MC),DELTA MOTORS S.P.A.
Mercedes-Benz Classe A - M 135i xdrive auto,"BMW Serie 1 135i
M 135i xdrive auto",https://autosupermarket.it/annunci/bmw-serie-1-135i-benzina-2021-b890d234e30df773?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-135i-benzina-2021-b890d234e30df773?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,"28.900 €
    
    
    

- 2% 28.500 €",116.000 km ,Aut. 8 marce ,"Giu, 2021",Benzina,Usata,226kW (308CV) ,50127 Firenze (FI),Nova Auto Srl
Mercedes-Benz Classe A - 116 Serie 1 (F40) d 5p. Business Advan,"BMW Serie 1 116d
116 Serie 1 (F40) d 5p. Business Advan",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-331549c1cd5811c4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-331549c1cd5811c4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,"21.500 €
    
    
    

- 3% 20.900 €",86.915 km ,Aut. 6 marce ,"Giu, 2021",Diesel,Usata,85kW (116CV) ,70123 Bari (BA),Marinoautomobili.it
"Mercedes-Benz Classe A - I Msport C.Lega17"" LED Clima2Zone M-Sport M Sport","BMW Serie 1 M
I Msport C.Lega17"" LED Clima2Zone M-Sport M Sport",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2022-3fe7ddd6a9158041?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2022-3fe7ddd6a9158041?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm, 26.900 €,22.000 km ,Aut. 7 marce ,"Mar, 2022",Benzina,Usata,104kW (142CV) ,50013 Campi Bisenzio (FI),GIGLI CARS
Mercedes-Benz Classe A - 116d 5p. Business Advantage FARI CAR PLAY,"BMW Serie 1 116d
116d 5p. Business Advantage FARI CAR PLAY",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-6a98e6b947432f03?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-6a98e6b947432f03?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm, 22.899 €,95.502 km ,Aut. 8 marce ,"Mag, 2021",Diesel,Usata,85kW (116CV) ,75012 Bernalda (MT),STIGLIANO AUTOMOBILI
Mercedes-Benz Classe A -  - 128ti auto,BMW Serie 1 128ti  - 128ti auto,https://autosupermarket.it/annunci/bmw-serie-1-128ti-benzina-2022-1de1de83a769c8b3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-128ti-benzina-2022-1de1de83a769c8b3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,"32.500 €
    
    
    

- 1% 32.200 €",27.265 km ,Aut. ,"Giu, 2022",Benzina,Usata,195kW (266CV) ,62010 Montecosaro (MC),DELTA MOTORS S.P.A.
Mercedes-Benz Classe A - d 5p. Business Advantage,"BMW Serie 1 116d
d 5p. Business Advantage",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-ff5d868f2da79277?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-ff5d868f2da79277?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 20.900 €,78.000 km ,Man. 6 marce ,"Giu, 2021",Diesel,Usata,85kW (116CV) ,30029 San Stino di Livenza (VE),OFFICINA BIVIO
Mercedes-Benz Classe A - D M SPORT AUT.,"BMW Serie 1 M
D M SPORT AUT.",https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2024-ce3fa361d3fddc4d?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2024-ce3fa361d3fddc4d?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 29.900 €,14.115 km ,Aut. 6 marce ,"Mar, 2024",Diesel,Usata,110kW (150CV) ,45026 Lendinara (RO),MARINELLI MOTORS
Mercedes-Benz Classe A - 118 d 5p. *AUTOMATICA*,"BMW Serie 1 118d
118 d 5p. *AUTOMATICA*",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2020-a6f64bd7e9e41767?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2020-a6f64bd7e9e41767?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 20.700 €,115.995 km ,Aut. 6 marce ,"Set, 2020",Diesel,Usata,110kW (150CV) ,33170 Pordenone (PN),NICE'S CAR SRL
Mercedes-Benz Classe A - d 5p. Business Advantage PREZZO REALE/NEOPATENTATI,"BMW Serie 1 135i
d 5p. Business Advantage PREZZO REALE/NEOPATENTATI",https://autosupermarket.it/annunci/bmw-serie-1-135i-diesel-2021-a77b270e53452827?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-135i-diesel-2021-a77b270e53452827?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 21.900 €,91.100 km ,Aut. 6 marce ,"Giu, 2021",Diesel,Usata,110kW (150CV) ,31048 San Biagio di Callalta (TV),Autosalone 2000 Srl
Mercedes-Benz Classe A - M 135i xdrive auto,"BMW Serie 1 135i
M 135i xdrive auto",https://autosupermarket.it/annunci/bmw-serie-1-135i-benzina-2020-566d9f61a7fa1db3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-135i-benzina-2020-566d9f61a7fa1db3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,"33.000 €
    
    
    

- 4% 31.900 €",66.300 km ,Aut. 8 marce ,"Mag, 2020",Benzina,Usata,225kW (306CV) ,36061 Bassano del Grappa (VI),AUTOCENTER S.R.L.
Mercedes-Benz Classe A - I M SPORT AUT.,"BMW Serie 1 M
I M SPORT AUT.",https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-0fbab7f6b9c06038?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-m-benzina-2024-0fbab7f6b9c06038?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 29.900 €,21.650 km ,Aut. 6 marce ,"Mar, 2024",Benzina,Usata,100kW (136CV) ,45026 Lendinara (RO),MARINELLI MOTORS
Mercedes-Benz Classe A - 118i 5p. Msport,"BMW Serie 1 118i
118i 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2024-65bbaaa319ce021e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2024-65bbaaa319ce021e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 29.890 €,20.485 km ,Aut. 6 marce ,"Apr, 2024",Benzina,Usata,100kW (136CV) ,36022 Cassola (VI),FRATTIN GROUP SRL
Mercedes-Benz Classe A -  - 116d msport auto,BMW Serie 1 116d  - 116d msport auto,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-1c0c546520408f43?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2021-1c0c546520408f43?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 25.300 €,79.278 km ,Aut. ,"Giu, 2021",Diesel,Usata,85kW (116CV) ,54100 Massa (MS),GINO S.P.A
Mercedes-Benz Classe A - d xDrive 5p. Msport,"BMW Serie 1 M
d xDrive 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2020-08daa97eda4290a2?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2020-08daa97eda4290a2?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 27.500 €,99.990 km ,Aut. 8 marce ,"Giu, 2020",Diesel,Usata,140kW (191CV) ,30027 San Donà di Piave (VE),DREAM CAR S.R.L.
Mercedes-Benz Classe A - D M SPORT AUT.,"BMW Serie 1 M
D M SPORT AUT.",https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2024-44c28354a8360421?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2024-44c28354a8360421?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 30.900 €,6.954 km ,Aut. 6 marce ,"Mar, 2024",Diesel,Usata,110kW (150CV) ,45026 Lendinara (RO),MARINELLI MOTORS
Mercedes-Benz Classe A - 118d 5p. Msport,"BMW Serie 1 118d
118d 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-c75ac639ca88fae4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-c75ac639ca88fae4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 33.990 €,25.023 km ,Aut. 6 marce ,"Mag, 2024",Diesel,Usata,110kW (150CV) ,36022 Cassola (VI),FRATTIN GROUP SRL
Mercedes-Benz Classe A - 118i 5p. Advantage,"BMW Serie 1 118i
118i 5p. Advantage",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-c1e4fb9a01d8889e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-c1e4fb9a01d8889e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 21.990 €,85.006 km ,Aut. 6 marce ,"Gen, 2021",Benzina,Usata,100kW (136CV) ,36022 Cassola (VI),FRATTIN GROUP SRL
Mercedes-Benz Classe A -  - 118i msport 140cv auto,BMW Serie 1 118i  - 118i msport 140cv auto,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2020-45b0c31a64d95119?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2020-45b0c31a64d95119?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 27.500 €,58.634 km ,Aut. ,"Ott, 2020",Benzina,Usata,103kW (141CV) ,19126 La Spezia (SP),GINO S.P.A
Mercedes-Benz Classe A - 116d 5p. msport,"BMW Serie 1 116d
116d 5p. msport",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2022-f269debd079cc6b4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2022-f269debd079cc6b4?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 29.900 €,26.000 km ,Aut. 6 marce ,"Dic, 2022",Diesel,Usata,85kW (116CV) ,56121 Pisa (PI),GT AUTO srl
Mercedes-Benz Classe A - 118i 5p. Advantage,"BMW Serie 1 118i
118i 5p. Advantage",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-dd25bf608ec5c7cc?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-dd25bf608ec5c7cc?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D2, 21.990 €,74.241 km ,Aut. 6 marce ,"Gen, 2021",Benzina,Usata,100kW (136CV) ,36022 Cassola (VI),FRATTIN GROUP SRL
Mercedes-Benz Classe A - Serie 1 F40 116d Msport auto,"BMW Serie 1 116d
Serie 1 F40 116d Msport auto",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-2babb46b09883f21?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2020-2babb46b09883f21?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3, 17.850 €,176.250 km ,Aut. 8 marce ,"Nov, 2020",Diesel,Usata,85kW (116CV) ,41032 Cavezzo (MO),ALLCARS S.R.L.
Mercedes-Benz Classe A - d 5p. Msport  m sport SEDILI RISCALDATI,BMW Serie 1 M d 5p. Msport  m sport SEDILI RISCALDATI,https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2024-ee318a8c1201edc3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3,https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2024-ee318a8c1201edc3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3, 33.900 €,15.900 km ,Aut. 6 marce ,"Mar, 2024",Diesel,Usata,110kW (150CV) ,31048 San Biagio di Callalta (TV),Autosalone 2000 Srl
Mercedes-Benz Classe A - 118d 5p. M Sport auto #Alpinweiss,"BMW Serie 1 118d
118d 5p. M Sport auto #Alpinweiss",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-19ffdafc76d2ee62?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-19ffdafc76d2ee62?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3,"32.990 €
    
    
    

- 7% 30.800 €",18.250 km ,Aut. 8 marce ,"Mag, 2024",Diesel,Usata,110kW (150CV) ,30038 Spinea (VE),AUTO SPINEA SPA
Mercedes-Benz Classe A - d xDrive 5p. AUTO/TETTO/NAVI/HARMANKARDON/CAMERA,"BMW Serie 1 M
d xDrive 5p. AUTO/TETTO/NAVI/HARMANKARDON/CAMERA",https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2021-28227a2cc38b1b42?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3,https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2021-28227a2cc38b1b42?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3, 27.500 €,40.000 km ,Aut. 8 marce ,"Mag, 2021",Diesel,Usata,140kW (191CV) ,40132 Bologna (BO),AUTOVIP BOLOGNA
Mercedes-Benz Classe A - 118i 5p. Advantage,"BMW Serie 1 118i
118i 5p. Advantage",https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-303b1b8313c54a1e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3,https://autosupermarket.it/annunci/bmw-serie-1-118i-benzina-2021-303b1b8313c54a1e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3, 21.990 €,71.109 km ,Aut. 6 marce ,"Gen, 2021",Benzina,Usata,100kW (136CV) ,36022 Cassola (VI),FRATTIN GROUP SRL
Mercedes-Benz Classe A - 118d 5p. Msport,"BMW Serie 1 118d
118d 5p. Msport",https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-6461e7c6ad3c6704?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3,https://autosupermarket.it/annunci/bmw-serie-1-118d-diesel-2024-6461e7c6ad3c6704?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3, 33.990 €,25.014 km ,Aut. 6 marce ,"Mag, 2024",Diesel,Usata,110kW (150CV) ,36022 Cassola (VI),FRATTIN GROUP SRL
Mercedes-Benz Classe A - (F40) d 5p. Msport PROMO NEOPATENTATI,"BMW Serie 1 M
(F40) d 5p. Msport PROMO NEOPATENTATI",https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2021-9557683c9bd52a5e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3,https://autosupermarket.it/annunci/bmw-serie-1-m-diesel-2021-9557683c9bd52a5e?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3,"23.900 €
    
    
    

- 11% 21.490 €",114.880 km ,Aut. 6 marce ,"Feb, 2021",Diesel,Usata,85kW (116CV) ,35042 Este (PD),INFOCARS SRL
Mercedes-Benz Classe A - 116 d SCR Advantage DCT,"BMW Serie 1 116d
116 d SCR Advantage DCT",https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2022-1cf4fcc1a7a7bcf3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3,https://autosupermarket.it/annunci/bmw-serie-1-116d-diesel-2022-1cf4fcc1a7a7bcf3?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3, 21.900 €,111.908 km ,Aut. 7 marce ,"Gen, 2022",Diesel,Usata,85kW (116CV) ,25135 Brescia (BS),BONERA S.P.A.
Mercedes-Benz Classe A - 120 48V MSport Pro DCT,"BMW Serie 1 M
120 48V MSport Pro DCT",https://autosupermarket.it/annunci/bmw-serie-1-m-ibrida-2024-98575b30d7852635?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3,https://autosupermarket.it/annunci/bmw-serie-1-m-ibrida-2024-98575b30d7852635?search=https://autosupermarket.it/ricerca/bmw/serie-1/anno-da-2020?t%3D6399rm%26page%3D3, 41.400 €,15.800 km ,Aut. 7 marce ,"Set, 2024",Ibrida,Usata,125kW (170CV) ,25135 Brescia (BS),BONERA S.P.A.
