Annuncio,Modello,Link,Link2,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,Tipologia,CV,Località,Località2,Venditore
"Audi A3
RS3 performance Edtion 407 CV LIMITED EDITI",RS3 performance Edtion 407 CV LIMITED EDITI,https://autosupermarket.it/annunci/audi-a3-3-2-benzina-2023-703aaa5a5e4c9c8d?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su&t=2,https://autosupermarket.it/annunci/audi-a3-3-2-benzina-2023-703aaa5a5e4c9c8d?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su&t=2, 89.990 €,,,,,,,80022 Arzano (NA),,CONTANGELO MOTORI SRL
"Audi A3
A3 SPB 30 G-TRON S TRONIC S LINE ESTERIOR 2020*P.CONS",A3 SPB 30 G-TRON S TRONIC S LINE ESTERIOR 2020*P.CONS,https://autosupermarket.it/annunci/audi-a3-30-g-tron-metano-2020-5cfc801a482dba84?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-30-g-tron-metano-2020-5cfc801a482dba84?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 17.900 €,143.000 km ,Aut. 7 marce ,"Gen, 2020",Metano,Usata,96kW (131CV) ,,00013 Fonte Nuova (RM),
,,,,,,,,,,,,,
"Audi A3
SPB 40 TFSI plug in S tronic virtual Cockpit",SPB 40 TFSI plug in S tronic virtual Cockpit,https://autosupermarket.it/annunci/audi-a3-40-tfsi-ibrida-2021-47389436ff7fcaf6?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-40-tfsi-ibrida-2021-47389436ff7fcaf6?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 18.025 €,58.377 km ,Aut. 6 marce ,"Lug, 2021",Ibrida,Usata,150kW (204CV) ,,00178 Roma (RM),
"Audi A3
SPB 30 TDI Business Advanced * GARANZIA *",SPB 30 TDI Business Advanced * GARANZIA *,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2020-8f6148f7f69362b9?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2020-8f6148f7f69362b9?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 18.042 €,79.368 km ,Aut. 8 marce ,"Ott, 2020",Diesel,Usata,85kW (116CV) ,,00178 Roma (RM),
"Audi A3
SPB 30TFSI BUSINESS ADVANCED VIRTUAL LED NAVI BI-ZONA ANDROID",SPB 30TFSI BUSINESS ADVANCED VIRTUAL LED NAVI BI-ZONA ANDROID,https://autosupermarket.it/annunci/audi-a3-30-tfsi-benzina-2022-264d9cee022c5a4a?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-30-tfsi-benzina-2022-264d9cee022c5a4a?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 21.300 €,77.400 km ,Aut. 7 marce ,"Gen, 2022",Benzina,Usata,81kW (111CV) ,00132 Roma (RM),,COMPETITION CARS S.R.L.
"Audi A3
SPB 30 TDI SLINE",SPB 30 TDI SLINE,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2020-613aec2eff277a62?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2020-613aec2eff277a62?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 18.200 €,123.000 km ,Man. 6 marce ,"Giu, 2020",Diesel,Usata,85kW (116CV) ,,04100 Latina (LT),
"Audi A3
SPB 35 TDI S tronic Sport",SPB 35 TDI S tronic Sport,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2020-b8dbdb6504730dfb?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2020-b8dbdb6504730dfb?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su, 18.400 €,58.000 km ,Aut. 7 marce ,"Lug, 2020",Diesel,Usata,110kW (150CV) ,,00178 Roma (RM),
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Audi A3
RS3 performance Edtion 407 CV LIMITED EDITI",RS3 performance Edtion 407 CV LIMITED EDITI,https://autosupermarket.it/annunci/audi-a3-3-2-benzina-2023-703aaa5a5e4c9c8d?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2&t=2,https://autosupermarket.it/annunci/audi-a3-3-2-benzina-2023-703aaa5a5e4c9c8d?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2&t=2, 89.990 €,,,,,,,80022 Arzano (NA),,CONTANGELO MOTORI SRL
"Audi A3
30 2.0 tdi S line edition",30 2.0 tdi S line edition,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2022-205cea0c360b3691?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2022-205cea0c360b3691?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 18.900 €,125.000 km ,Man. 6 marce ,"Gen, 2022",Diesel,Usata,85kW (116CV) ,,31022 Preganziol (TV),
Audi A3  - a3 spb 35 tdi s tronic admired, - a3 spb 35 tdi s tronic admired,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2020-12b1279772f5482e?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2020-12b1279772f5482e?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 18.900 €,110.000 km ,Aut. 7 marce ,"Lug, 2020",Diesel,Usata,110kW (150CV) ,,20025 Legnano (MI),
"Audi A3
A3 SPB 40 e-tron S tronic Admired",A3 SPB 40 e-tron S tronic Admired,https://autosupermarket.it/annunci/audi-a3-40-e-tron-ibrida-2020-4ef6f9a1610f2d5c?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-40-e-tron-ibrida-2020-4ef6f9a1610f2d5c?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 18.990 €,104.033 km ,Aut. 6 marce ,"Mag, 2020",Ibrida,Usata,110kW (150CV) ,,72023 Mesagne (BR),
"Audi A3
SPB 30 TFSI S tronic",SPB 30 TFSI S tronic,https://autosupermarket.it/annunci/audi-a3-30-tfsi-ibrida-2020-4ea47d69b7f5c63f?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-30-tfsi-ibrida-2020-4ea47d69b7f5c63f?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 18.999 €,100.000 km ,Aut. 7 marce ,"Nov, 2020",Ibrida,Usata,81kW (111CV) ,,51018 Pieve a Nievole (PT),
"Audi A3
A3 Sportback 30 2.0 tdi Business",A3 Sportback 30 2.0 tdi Business,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2021-73da6d3017922c78?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-2-0-diesel-2021-73da6d3017922c78?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 22.500 €,85.143 km ,Man. 6 marce ,"Giu, 2021",Diesel,Usata,85kW (116CV) ,50054 Fucecchio (FI),,Sani Moreno srl
,,,,,,,,,,,,,
"Audi A3
A3 SPB 30 TFSI Business",A3 SPB 30 TFSI Business,https://autosupermarket.it/annunci/audi-a3-30-tfsi-benzina-2020-370e1b0e15d76164?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-30-tfsi-benzina-2020-370e1b0e15d76164?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 19.200 €,59.920 km ,Man. 6 marce ,"Nov, 2020",Benzina,Usata,81kW (111CV) ,,26100 Cremona (CR),
"Audi A3
SPB 30 TDI Business Advanced*LED CAMERA CARPLAY*",SPB 30 TDI Business Advanced*LED CAMERA CARPLAY*,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2021-6c0b3056ecf01e9f?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2021-6c0b3056ecf01e9f?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 22.600 €,87.700 km ,Man. 6 marce ,"Lug, 2021",Diesel,Usata,85kW (116CV) ,00132 Roma (RM),,COMPETITION CARS S.R.L.
"Audi A3
Audi A3 Sportback - 35 TDI 3XS-LINE | PANO",Audi A3 Sportback - 35 TDI 3XS-LINE | PANO,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-f6e8456d75e73f11?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2021-f6e8456d75e73f11?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 19.277 €,50.383 km ,Aut. 7 marce ,"Giu, 2021",Diesel,Usata,110kW (150CV) ,,00172 Roma (RM),
"Audi A3
SPB 35 TFSI S tronic Business Advanced",SPB 35 TFSI S tronic Business Advanced,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2023-fe0a1a95c0433b91?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2&t=2,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2023-fe0a1a95c0433b91?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2&t=2, 29.600 €,,,,,,,10040 Leini (TO),,AUTOSPORT S.R.L.
"Audi A3
SPB 30 TDI UNIPRO - VIRTUAL COCKPIT",SPB 30 TDI UNIPRO - VIRTUAL COCKPIT,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2021-21127cf57dfb780a?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2021-21127cf57dfb780a?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 19.400 €,120.000 km ,Man. 6 marce ,"Gen, 2021",Diesel,Usata,85kW (116CV) ,,46012 Bozzolo (MN),
,,,,,,,,,,,,,
"Audi A3
Sedan 35 TDI S tronic S line edition",Sedan 35 TDI S tronic S line edition,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2020-5ec9d118b6da48fd?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2020-5ec9d118b6da48fd?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 22.990 €,93.000 km ,Aut. 7 marce ,"Ago, 2020",Diesel,Usata,110kW (150CV) ,20814 Varedo (MB),,SORBARAAUTO SRL
"Audi A3
SPB 30 TDI Admired",SPB 30 TDI Admired,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2020-af56c0d9bf36243a?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2020-af56c0d9bf36243a?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 19.600 €,106.839 km ,Man. 6 marce ,"Lug, 2020",Diesel,Usata,85kW (116CV) ,,21042 CARONNO PERTUSELLA (VA),
"Audi A3
A3 SPB 30 TDI Business Advanced",A3 SPB 30 TDI Business Advanced,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2021-ea40d74460fd4650?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2021-ea40d74460fd4650?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 19.800 €,162.000 km ,Man. 6 marce ,"Feb, 2021",Diesel,Usata,85kW (116CV) ,,72018 San Michele salentino (BR),
"Audi A3
Vettura impeccabile, tutti i tagliandi eseguiti","Vettura impeccabile, tutti i tagliandi eseguiti",https://autosupermarket.it/annunci/audi-a3-40-e-tron-ibrida-2020-a9cd212a9bf45fd0?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-40-e-tron-ibrida-2020-a9cd212a9bf45fd0?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 19.800 €,79.000 km ,Aut. 6 marce ,"Feb, 2020",Ibrida,Usata,185kW (252CV) ,,20151 Milano (MI),
"Audi A3
SPB 40 TFSI e S tronic",SPB 40 TFSI e S tronic,https://autosupermarket.it/annunci/audi-a3-40-tfsi-ibrida-2020-11219156bfe32a00?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2,https://autosupermarket.it/annunci/audi-a3-40-tfsi-ibrida-2020-11219156bfe32a00?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D2, 19.900 €,99.800 km ,Aut. 6 marce ,"Giu, 2020",Ibrida,Usata,187kW (255CV) ,,76025 Ripalimosani (CB),
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Audi A3
SPB 35 TFSI S tronic Business Advanced",SPB 35 TFSI S tronic Business Advanced,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2023-366f94d33f935f44?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D3&t=2,https://autosupermarket.it/annunci/audi-a3-35-tfsi-ibrida-2023-366f94d33f935f44?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D3&t=2, 30.500 €,,,,,,,10040 Leini (TO),,AUTOSPORT S.R.L.
"Audi A3
SPORTBACK 40 e-tron S tronic 18"" PLUG IN 204 HP","SPORTBACK 40 e-tron S tronic 18"" PLUG IN 204 HP",https://autosupermarket.it/annunci/audi-a3-40-e-tron-ibrida-2020-56ccd86480cbd741?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D3,https://autosupermarket.it/annunci/audi-a3-40-e-tron-ibrida-2020-56ccd86480cbd741?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D3,"20.900 €
    
    
    

- 5% 19.900 €",62.248 km ,Aut. 6 marce ,"Ago, 2020",Ibrida,Usata,110kW (150CV) ,,27029 Vigevano (PV),
"Audi A3
SPORTBACK 40 e-tron S tronic 18"" PLUG IN 204 HP","SPORTBACK 40 e-tron S tronic 18"" PLUG IN 204 HP",https://autosupermarket.it/annunci/audi-a3-40-e-tron-benzina-2020-aa41307ee91b8710?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D3,https://autosupermarket.it/annunci/audi-a3-40-e-tron-benzina-2020-aa41307ee91b8710?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D3, 19.900 €,62.248 km ,Aut. 6 marce ,"Ago, 2020",Benzina,Usata,110kW (150CV) ,,27029 Vigevano (PV),
"Audi A3
SPB 35 TDI S tronic Business",SPB 35 TDI S tronic Business,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2020-c1fef5d38c8e1660?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D3,https://autosupermarket.it/annunci/audi-a3-35-tdi-diesel-2020-c1fef5d38c8e1660?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D3, 19.950 €,75.400 km ,Aut. 7 marce ,"Lug, 2020",Diesel,Usata,110kW (150CV) ,,20017 RHO (MI),
"Audi A3
SPB 30 TDI Business Advanced",SPB 30 TDI Business Advanced,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2021-1599c7d1043e224c?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D3,https://autosupermarket.it/annunci/audi-a3-30-tdi-diesel-2021-1599c7d1043e224c?search=https://autosupermarket.it/ricerca/audi/a3/prezzo-da-10000?anno-da%3D2020%26t%3Db008wm%26ordina%3Dprezzo-su%26page%3D3, 23.500 €,58.000 km ,Man. 6 marce ,"Lug, 2021",Diesel,Usata,85kW (116CV) ,40132 Bologna (BO),,AUTOVIP BOLOGNA
