Annuncio,Link,Modello,Prezzo,Chilometraggio,Cambio,Immatricolazione,Carburante,CV,Venditore,CAP,Comune
Opel Corsa 1.2 Elegance,https://www.autoscout24.it/annunci/opel-corsa-1-2-elegance-benzina-bianco-c9e666f9-987f-44fc-8f5c-60ce01bd94ea,1.2 75cv,8990.0,149000,manuale,2021,Benzina,102.0,Rivenditore,80010,quarto
Opel Corsa 1.5 Edition s&s 100cv,https://www.autoscout24.it/annunci/opel-corsa-1-5-edition-s-s-100cv-diesel-arancione-bb0d258a-0c6e-4ca7-892a-300e2d550d5d,1.5 Diesel,8990.0,125000,manuale,2021,Diesel,102.0,Rivenditore,10156,torino
Opel Corsa Corsa VI 2020 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-vi-2020-1-2-elegance-s-benzina-grigio-9ff87723-eeb0-4a36-9412-ec9ec9e1e1e9,1.2 75cv,9600.0,45000,manuale,2020,Benzina,102.0,Privato,80143,napoli
Opel Corsa Corsa 1.2 Blitz Edition s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-blitz-edition-s-benzina-bianco-47f0cad5-9589-48fa-9c9b-a9db16e7e058,1.2 75cv,6200.0,6000,manuale,2022,Benzina,102.0,Rivenditore,36016,thiene
Opel Corsa 1.2 Edition NEOPATENTATI PROMO!!,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-neopatentati-promo-benzina-arancione-2b8c647d-492c-4b4d-bb68-43ddf648f718,1.2 75cv,8900.0,69880,manuale,2022,Benzina,102.0,Rivenditore,35042,este
Opel Corsa 1.2,https://www.autoscout24.it/annunci/opel-corsa-1-2-benzina-nero-148a955b-5dcc-4721-b5be-7f5dd40144c5,1.2 75cv,9300.0,92671,manuale,2021,Benzina,102.0,Rivenditore,10147,torino
Opel Corsa 1.2 Elegance,https://www.autoscout24.it/annunci/opel-corsa-1-2-elegance-benzina-argento-535be9e3-1350-4493-a2cb-c5fea4aadf72,1.2 75cv,9500.0,97000,manuale,2021,Benzina,102.0,Rivenditore,70014,conversano
Opel Corsa Corsa 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-elegance-s-benzina-arancione-83063586-f803-4808-a909-5538f2901ce1,1.2 75cv,8999.0,139000,manuale,2020,Benzina,102.0,Rivenditore,80019,qualiano
Opel Corsa 1.2 Elegance s&s 75cv OK NEOPATENTATI,https://www.autoscout24.it/annunci/opel-corsa-1-2-elegance-s-s-75cv-ok-neopatentati-benzina-bianco-69f454b2-3b8a-4cd3-8b9b-87b9396e3066,1.2 75cv,9400.0,135000,manuale,2021,Benzina,102.0,Rivenditore,51100,pistoia
Opel Corsa 5p 1.3 cdti b-Color 75cv,https://www.autoscout24.it/annunci/opel-corsa-5p-1-3-cdti-b-color-75cv-diesel-f61375fc-8fb8-4289-b235-c441b31d8858,,9500.0,112000,manuale,2025,Diesel,102.0,Privato,71036,lucera
Opel Corsa Opel Corsa 1.2 Elegance PROMOZIONE Unicoproprieta,https://www.autoscout24.it/annunci/opel-corsa-opel-corsa-1-2-elegance-promozione-unicoproprieta-benzina-blu-azzurro-c7a38878-bd94-4dcf-b1c2-1320184756cf,1.2 75cv,8900.0,92000,manuale,2021,Benzina,102.0,Rivenditore,10143,torino
Opel Corsa Corsa 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-elegance-s-benzina-nero-cb1ffecf-3618-4eaa-bd08-f89d0e49268c,1.2 75cv,,118000,manuale,2021,Benzina,102.0,Rivenditore,73010,arnesano
Opel Corsa Corsa 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-elegance-s-benzina-grigio-7646ac6e-c363-42a8-8675-ec9a43a234c0,1.2 75cv,,60000,manuale,2020,Benzina,102.0,Rivenditore,20082,binasco
Opel Corsa Corsa VI 2020 e- Elegance,https://www.autoscout24.it/annunci/opel-corsa-corsa-vi-2020-e-elegance-elettrica-argento-ce2e56b4-d4bb-4abc-bed9-e28d989b0dcd,,8500.0,127000,automatico,2020,Benzina,102.0,Privato,20154,milano
Opel Corsa Corsa VI 2020 1.2,https://www.autoscout24.it/annunci/opel-corsa-corsa-vi-2020-1-2-benzina-nero-1b446cb9-a217-4869-adf0-abc9f921780a,1.2 75cv,8950.0,89408,manuale,2021,Benzina,102.0,Rivenditore,47039,savignano sul rubicone
Opel Corsa 1.2Elegance s&s100cv  IVA COMNPRESA NO VINCOLI,https://www.autoscout24.it/annunci/opel-corsa-1-2elegance-s-s100cv-iva-comnpresa-no-vincoli-benzina-blu-azzurro-348807f0-616f-4684-bd05-41d573889c32,1.2 75cv,8500.0,99000,manuale,2021,Benzina,102.0,Rivenditore,54,fiumicino
Opel Corsa Corsa 1.5 Edition s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-5-edition-s-diesel-bianco-31972ad0-8f07-40a2-a860-e4fd3b41fa31,1.5 Diesel,8000.0,118000,manuale,2020,Diesel,102.0,Privato,20100,
Opel Corsa 1.2 Elegance s&s 100cv,https://www.autoscout24.it/annunci/opel-corsa-1-2-elegance-s-s-100cv-benzina-nero-df2d3fbb-97d1-412f-9460-5e6cbdc9f7f0,1.2 75cv,8800.0,69000,manuale,2021,Benzina,102.0,Rivenditore,81010,ailano
Opel Corsa 1.2 Edition NEOPATENTATI PROMO,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-neopatentati-promo-benzina-arancione-917ad3e3-a0b6-42b7-a17e-fb21f72c3738,1.2 75cv,,59889,manuale,2022,Benzina,102.0,Rivenditore,35042,este
Opel Corsa Corsa VI 2020 1.2 Elegance,https://www.autoscout24.it/annunci/opel-corsa-corsa-vi-2020-1-2-elegance-benzina-blu-azzurro-30f82537-01b5-47ab-b573-573485a07d12,1.2 75cv,8950.0,109800,manuale,2021,Benzina,102.0,Rivenditore,47039,savignano sul rubicone
Opel Corsa Gs line,https://www.autoscout24.it/annunci/opel-corsa-gs-line-benzina-grigio-c67d190f-e605-4061-9795-9811a0339ed8,,9000.0,97000,manuale,2020,Benzina,102.0,Privato,59100,prato
Opel Corsa 1.2 Edition NEOPATENTATI PROMO!!,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-neopatentati-promo-benzina-arancione-d2fe79b3-c556-48e0-9266-3164ca05f2c7,1.2 75cv,8900.0,76000,manuale,2022,Benzina,102.0,Rivenditore,35042,este
Opel Corsa 1.2 100 CV Edition NO OBBLIGO DI FINANZ. !!!!,https://www.autoscout24.it/annunci/opel-corsa-1-2-100-cv-edition-no-obbligo-di-finanz-benzina-grigio-3a2009f3-7415-4cb9-b876-7c5617eff91d,1.2 100cv,8500.0,122700,manuale,2021,Benzina,102.0,Rivenditore,54,fiumicino
Opel Corsa 1.2 Elegance,https://www.autoscout24.it/annunci/opel-corsa-1-2-elegance-benzina-bianco-c9e666f9-987f-44fc-8f5c-60ce01bd94ea,1.2 75cv,8990.0,149000,manuale,2021,Benzina,102.0,Rivenditore,80010,quarto
Opel Corsa 1.5 Edition s&s 100cv,https://www.autoscout24.it/annunci/opel-corsa-1-5-edition-s-s-100cv-diesel-arancione-bb0d258a-0c6e-4ca7-892a-300e2d550d5d,1.5 Diesel,8990.0,125000,manuale,2021,Diesel,102.0,Rivenditore,10156,torino
Opel Corsa 1.2 Edition NEOPATENTATI PROMO!!,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-neopatentati-promo-benzina-arancione-3336403f-7d56-4a3c-9d84-82eb7ca6a3e0,1.2 75cv,8900.0,69000,manuale,2022,Benzina,102.0,Rivenditore,35042,este
Opel Corsa Corsa 1.5 Edition s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-5-edition-s-diesel-arancione-e2ff899e-5920-491b-9c5b-811ff5998eab,1.5 Diesel,8850.0,159238,manuale,2020,Diesel,102.0,Rivenditore,47893,
Opel Corsa 1.2 Edition NEOPATENTATI PROMO!!,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-neopatentati-promo-benzina-arancione-2b8c647d-492c-4b4d-bb68-43ddf648f718,1.2 75cv,8900.0,69880,manuale,2022,Benzina,102.0,Rivenditore,35042,este
Opel Corsa 1.2 Edition NEOPATENTATI PROMO!!,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-neopatentati-promo-benzina-argento-41bc4aa9-3b4f-4783-ac19-b8ac4cdb6573,1.2 75cv,8900.0,94000,manuale,2021,Benzina,102.0,Rivenditore,35042,este
Opel Corsa Corsa 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-elegance-s-benzina-nero-cb1ffecf-3618-4eaa-bd08-f89d0e49268c,1.2 75cv,,118000,manuale,2021,Benzina,102.0,Rivenditore,73010,arnesano
Opel Corsa 1.2 Edition NEOPATENTATI PROMO!!,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-neopatentati-promo-benzina-arancione-a8f390d6-413b-4f74-bb14-4e2bd85b8e55,1.2 75cv,8900.0,86000,manuale,2022,Benzina,102.0,Rivenditore,35042,este
Opel Corsa Corsa 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-elegance-s-benzina-arancione-83063586-f803-4808-a909-5538f2901ce1,1.2 75cv,8999.0,139000,manuale,2020,Benzina,102.0,Rivenditore,80019,qualiano
Opel Corsa 1.2 100 CV Elegance Iva Esposta promo,https://www.autoscout24.it/annunci/opel-corsa-1-2-100-cv-elegance-iva-esposta-promo-benzina-blu-azzurro-08a17e80-0de8-452b-858d-df545c060c51,1.2 100cv,,122000,manuale,2021,Benzina,102.0,Rivenditore,35042,este
Opel Corsa 1.2 Edition NEOPATENTATI promo,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-neopatentati-promo-benzina-nero-89fa604d-b85a-44a4-b731-0f71c537e890,1.2 75cv,8490.0,94000,manuale,2021,Benzina,102.0,Rivenditore,35042,este
Opel Corsa Corsa 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-elegance-s-benzina-nero-8fcf021a-f62d-46ce-8dfa-10bd1c0076db,1.2 75cv,8990.0,25000,manuale,2020,Benzina,102.0,Rivenditore,20082,binasco
Opel Corsa 1.2 Edition 75cv UNICO PROPRIETARIO OK NEOPATENTAT,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-75cv-unico-proprietario-ok-neopatentat-benzina-rosso-200bb042-a041-4bc2-be5a-5cc5870bd60b,1.2 75cv,10400.0,55000,manuale,2020,Benzina,102.0,Rivenditore,20811,cesano maderno
Opel Corsa 1.2 Edition 75cv,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-75cv-benzina-b7051564-6615-4a09-ba7a-797c7443041e,1.2 75cv,9800.0,15669,manuale,2020,Benzina,102.0,Privato,91025,marsala
Opel Corsa 1.5 GS Line s&s 100cv,https://www.autoscout24.it/annunci/opel-corsa-1-5-gs-line-s-s-100cv-diesel-d9427f32-0cb9-48d6-b889-53f6e5b32155,1.5 Diesel,7990.0,200000,manuale,2020,Diesel,102.0,Privato,81039,villa literno
Opel Corsa 1.2 GS Line s&s 100cv,https://www.autoscout24.it/annunci/opel-corsa-1-2-gs-line-s-s-100cv-benzina-0618c0f5-75b3-4f1c-88c2-366d3c1bf706,1.2 75cv,10500.0,83000,manuale,2020,Benzina,102.0,Privato,10028,trofarello
Opel Corsa 1.5 Diesel 100 CV GS Line 2020,https://www.autoscout24.it/annunci/opel-corsa-1-5-diesel-100-cv-gs-line-2020-diesel-bianco-1f1fd3e1-aa93-479d-a89f-ae37fd40969c,1.5 Diesel,10490.0,125000,manuale,2020,Diesel,102.0,Rivenditore,81031,aversa
Opel Corsa 1.2 Edition s AFFARE!!,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-s-affare-benzina-arancione-579c692e-2221-4508-bc92-590d02d4c9a4,1.2 75cv,10200.0,65500,manuale,2022,Benzina,102.0,Rivenditore,45100,rovigo
Opel Corsa Corsa VI 2020 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-vi-2020-1-2-elegance-s-benzina-54b2a9b2-1e9b-4910-85cb-435b50243d79,1.2 75cv,9900.0,88000,manuale,2020,Benzina,102.0,Privato,50035,palazzuolo sul senio
Opel Corsa 1.2 Blitz Edition s,https://www.autoscout24.it/annunci/opel-corsa-1-2-blitz-edition-s-benzina-bianco-57b924ec-0cb7-4446-adaa-2fcdd8584f6a,1.2 75cv,9990.0,52000,manuale,2023,Benzina,102.0,Rivenditore,20082,binasco
"Opel Corsa Elegance, Cinghia distr nuova, doppi cerchi lega",https://www.autoscout24.it/annunci/opel-corsa-elegance-cinghia-distr-nuova-doppi-cerchi-lega-benzina-blu-azzurro-3732fefa-ddd9-47b2-a043-e1ae834af957,,10500.0,72000,manuale,2020,Benzina,102.0,Privato,12020,bellino
Opel Corsa 1.5 100CV Edition,https://www.autoscout24.it/annunci/opel-corsa-1-5-100cv-edition-diesel-bianco-4eff9829-eea9-42f7-a574-1e546eb80b69,1.5 Diesel,10547.0,54763,manuale,2022,Diesel,102.0,Rivenditore,20153,milano
Opel Corsa 1.2 Elegance,https://www.autoscout24.it/annunci/opel-corsa-1-2-elegance-benzina-bianco-c9e666f9-987f-44fc-8f5c-60ce01bd94ea,1.2 75cv,8990.0,149000,manuale,2021,Benzina,102.0,Rivenditore,80010,quarto
Opel Corsa Corsa VI 2020 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-vi-2020-1-2-elegance-s-benzina-grigio-9ff87723-eeb0-4a36-9412-ec9ec9e1e1e9,1.2 75cv,9600.0,45000,manuale,2020,Benzina,102.0,Privato,80143,napoli
Opel Corsa 1.2 Edition NEOPATENTATI PROMO!!,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-neopatentati-promo-benzina-arancione-d2fe79b3-c556-48e0-9266-3164ca05f2c7,1.2 75cv,8900.0,76000,manuale,2022,Benzina,102.0,Rivenditore,35042,este
Opel Corsa Corsa 1.2 Edition s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-edition-s-benzina-grigio-472d24a3-2888-49ca-96fb-1c987b7f0b16,1.2 75cv,10300.0,42074,manuale,2021,Benzina,102.0,Rivenditore,80030,camposano
Opel Corsa 1.2 Elegance NAV+RETROCAMERA OK NEOPATENTATI,https://www.autoscout24.it/annunci/opel-corsa-1-2-elegance-nav-retrocamera-ok-neopatentati-benzina-bianco-36441485-3ee8-4d3e-ad52-a30142aa0f30,1.2 75cv,9490.0,59100,manuale,2021,Benzina,102.0,Rivenditore,35030,baone
Opel Corsa Corsa 1.2 Edition 75cv,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-edition-75cv-benzina-nero-d6e33a6c-0f50-447a-8f58-33e77f8b19cb,1.2 75cv,9490.0,50000,manuale,2021,Benzina,102.0,Rivenditore,20082,binasco
Opel Corsa 1.2 Elegance,https://www.autoscout24.it/annunci/opel-corsa-1-2-elegance-benzina-nero-682626c6-da0b-42c8-83b5-018b2f7775b2,1.2 75cv,9500.0,83075,manuale,2021,Benzina,102.0,Rivenditore,40055,castenaso
Opel Corsa Edition 1.2 Benzina 75CV,https://www.autoscout24.it/annunci/opel-corsa-edition-1-2-benzina-75cv-benzina-bianco-683c4e0b-acae-4d26-9bcf-373b41cf9da2,1.2 75cv,9990.0,40700,manuale,2022,Benzina,102.0,Rivenditore,42122,reggio emilia
Opel Corsa 1.2 Elegance s&s 100cv,https://www.autoscout24.it/annunci/opel-corsa-1-2-elegance-s-s-100cv-benzina-blu-azzurro-7382480d-b1c7-4b9a-86d7-eeb9ef91de4f,1.2 75cv,9900.0,116648,manuale,2021,Benzina,102.0,Rivenditore,10141,torino
Opel Corsa Corsa VI 2020e- Elegance,https://www.autoscout24.it/annunci/opel-corsa-corsa-vi-2020e-elegance-elettrica-e82154cc-d17c-4b23-861c-cb4eba8a2b14,1.5 Diesel,9500.0,120000,automatico,2020,Diesel,102.0,Privato,44022,comacchio
Opel Corsa Corsa 1.2 Edition s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-edition-s-benzina-bianco-177ab65d-8580-4aab-9b8b-209ea7a6c943,1.2 75cv,9800.0,68000,manuale,2021,Benzina,102.0,Privato,164,roma
Opel Corsa 1.2 Elegance s&s 75cv,https://www.autoscout24.it/annunci/opel-corsa-1-2-elegance-s-s-75cv-benzina-8aeff3c5-2591-48c3-b693-3e258d4ea745,1.2 75cv,9400.0,66000,manuale,2021,Benzina,102.0,Privato,12073,ceva
Opel Corsa VI  1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-vi-1-2-elegance-s-benzina-nero-a74fdaba-5fbe-4c06-9967-d2a03c515f6d,1.2 75cv,9900.0,83000,manuale,2021,Benzina,102.0,Rivenditore,20831,seregno
Opel Corsa Corsa VI 2020 1.2 GS Line s,https://www.autoscout24.it/annunci/opel-corsa-corsa-vi-2020-1-2-gs-line-s-benzina-nero-a4c19575-e338-4e39-b7b7-ee15dd9e7801,1.2 75cv,10000.0,65000,manuale,2020,Benzina,102.0,Rivenditore,41012,carpi
Opel Corsa Corsa 1.2 Edition 75cv,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-edition-75cv-benzina-rosso-eff1f4a7-010a-4f5d-ab29-4cf017d8a409,1.2 75cv,9500.0,69300,manuale,2021,Benzina,102.0,Privato,20129,milano
Opel Corsa Elegance 1.2,https://www.autoscout24.it/annunci/opel-corsa-elegance-1-2-benzina-rosso-b8308120-7dc8-4bb6-a130-3d9b476b88ec,1.2 75cv,10000.0,40000,manuale,2020,Benzina,102.0,Rivenditore,51081,
Opel Corsa Corsa 1.2 Blitz Edition s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-blitz-edition-s-benzina-8a7eaf49-710b-45fa-9f1e-507b249e32ea,1.2 75cv,9999.0,69000,manuale,2022,Benzina,102.0,Privato,35010,borgoricco
Opel Corsa 1.2 75 CV Elegance,https://www.autoscout24.it/annunci/opel-corsa-1-2-75-cv-elegance-benzina-nero-3441c58b-83ee-4d88-a6db-27c1c88c8e51,1.2 75cv,9990.0,42000,manuale,2023,Benzina,102.0,Rivenditore,20082,binasco
Opel Corsa 1.2 100 CV Elegance,https://www.autoscout24.it/annunci/opel-corsa-1-2-100-cv-elegance-benzina-nero-63a0f809-c333-45d4-be28-cf64a381d0f8,1.2 100cv,9900.0,80000,manuale,2021,Benzina,102.0,Rivenditore,30171,venezia
Opel Corsa 1.2 Edition NEOPATENTATI PROMO!!,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-neopatentati-promo-benzina-arancione-5057d259-53de-4b1d-b17f-c4721993ed35,1.2 75cv,9900.0,39850,manuale,2022,Benzina,102.0,Rivenditore,35042,este
Opel Corsa Elegance VARI ALLESTIMENTI E COLORI IN SEDE,https://www.autoscout24.it/annunci/opel-corsa-elegance-vari-allestimenti-e-colori-in-sede-benzina-bianco-52e33830-9f5d-44da-8ceb-216f003df82c,,9990.0,42000,manuale,2023,Benzina,102.0,Rivenditore,20082,binasco
Opel Corsa Elegance VARI ALLESTIMENTI E COLORI IN SEDE,https://www.autoscout24.it/annunci/opel-corsa-elegance-vari-allestimenti-e-colori-in-sede-benzina-argento-224072ab-8cdd-4e03-9264-bb116745bff4,,9990.0,47000,manuale,2023,Benzina,102.0,Rivenditore,20082,binasco
Opel Corsa 1.5 Elegance s&s 100cv N1 - AUTOCARRO,https://www.autoscout24.it/annunci/opel-corsa-1-5-elegance-s-s-100cv-n1-autocarro-diesel-bianco-746a1bfb-4802-47ac-9b71-d296b9955bdc,1.5 Diesel,9900.0,39999,manuale,2023,Diesel,102.0,Rivenditore,24124,bergamo
Opel Corsa e- Elegance,https://www.autoscout24.it/annunci/opel-corsa-e-elegance-elettrica-3614ff0f-c53d-4792-8a5b-eec2301db1d8,,10000.0,106000,automatico,2021,Benzina,102.0,Privato,41030,bastiglia
Opel Corsa Corsa 1.2 Edition s,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-edition-s-benzina-grigio-e913d582-7f81-45a0-91a5-487715bc18c4,1.2 75cv,9900.0,60500,manuale,2020,Benzina,102.0,Rivenditore,10154,torino
Opel Corsa Gs line,https://www.autoscout24.it/annunci/opel-corsa-gs-line-benzina-grigio-c67d190f-e605-4061-9795-9811a0339ed8,,9000.0,97000,manuale,2020,Benzina,102.0,Privato,59100,prato
Opel Corsa Corsa VI 2020 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-vi-2020-1-2-elegance-s-benzina-rosso-c1388d4c-1a39-4d4c-8ea8-f45f6eea3daf,1.2 75cv,10000.0,40000,manuale,2020,Benzina,102.0,Privato,51018,pieve a nievole
Opel Corsa 1.2 Elegance PROMO FINANZIAMENTO,https://www.autoscout24.it/annunci/opel-corsa-1-2-elegance-promo-finanziamento-benzina-argento-57c13750-0474-420e-8519-8b6b2ffd37d4,1.2 75cv,9800.0,76000,manuale,2022,Benzina,102.0,Rivenditore,148,roma
Opel Corsa Corsa VI 2020 e- Edition,https://www.autoscout24.it/annunci/opel-corsa-corsa-vi-2020-e-edition-elettrica-blu-azzurro-a7914107-485b-4aa5-8825-8147815604bc,1.5 Diesel,10000.0,55000,automatico,2021,Diesel,102.0,Privato,20864,agrate brianza
Opel Corsa 1.2 Edition 75cv,https://www.autoscout24.it/annunci/opel-corsa-1-2-edition-75cv-benzina-b7051564-6615-4a09-ba7a-797c7443041e,1.2 75cv,9800.0,15669,manuale,2020,Benzina,102.0,Privato,91025,marsala
Opel Corsa 1.2 Elegance,https://www.autoscout24.it/annunci/opel-corsa-1-2-elegance-benzina-blu-azzurro-04fb3a94-514d-4da3-9718-f748db2fb08d,1.2 75cv,,73450,manuale,2021,Benzina,102.0,Rivenditore,30026,portogruaro
Opel Corsa Corsa VI 2020 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-vi-2020-1-2-elegance-s-benzina-54b2a9b2-1e9b-4910-85cb-435b50243d79,1.2 75cv,9900.0,88000,manuale,2020,Benzina,102.0,Privato,50035,palazzuolo sul senio
Opel Corsa 1.2 Blitz Edition s,https://www.autoscout24.it/annunci/opel-corsa-1-2-blitz-edition-s-benzina-bianco-57b924ec-0cb7-4446-adaa-2fcdd8584f6a,1.2 75cv,9990.0,52000,manuale,2023,Benzina,102.0,Rivenditore,20082,binasco
Opel Corsa OPEL CORSA 2021 DIESEL,https://www.autoscout24.it/annunci/opel-corsa-opel-corsa-2021-diesel-diesel-bianco-5234b335-5ae0-427c-b75b-b54ea97f4038,,10000.0,80000,manuale,2021,Diesel,102.0,Rivenditore,80019,qualiano
Opel Corsa Corsa VI 2020 1.2 Elegance s,https://www.autoscout24.it/annunci/opel-corsa-corsa-vi-2020-1-2-elegance-s-benzina-grigio-9ff87723-eeb0-4a36-9412-ec9ec9e1e1e9,1.2 75cv,9600.0,45000,manuale,2020,Benzina,102.0,Privato,80143,napoli
Opel Corsa 1.2 Benzina 75CV E6 Neo. - 2021,https://www.autoscout24.it/annunci/opel-corsa-1-2-benzina-75cv-e6-neo-2021-benzina-argento-91409739-35f3-469f-94a8-18ac0881eb3f,1.2 75cv,9900.0,95636,manuale,2021,Benzina,102.0,Rivenditore,156,roma
Opel Corsa Opel Corsa 1.2 Edition,https://www.autoscout24.it/annunci/opel-corsa-opel-corsa-1-2-edition-benzina-blu-azzurro-f7219aca-2203-415d-8112-7cb4b7ffe769,1.2 75cv,9690.0,82369,manuale,2021,Benzina,102.0,Rivenditore,80013,casalnuovo napoli
"Opel Corsa Edition 1,5 d",https://www.autoscout24.it/annunci/opel-corsa-edition-1-5-d-diesel-bianco-479986b0-f2ce-473b-9705-168a76510b72,1.5 Diesel,10000.0,93481,manuale,2022,Diesel,102.0,Privato,90100,
Opel Corsa Corsa 1.2 100CV Elegance S&S OK NEOPATENTATI,https://www.autoscout24.it/annunci/opel-corsa-corsa-1-2-100cv-elegance-s-s-ok-neopatentati-benzina-rosso-6acd5192-a5ab-453d-a756-2db81e8bebb9,1.2 100cv,9950.0,114629,manuale,2021,Benzina,102.0,Rivenditore,46028,sermide e felonica
